time_s,T_avg_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
56.3,48.774,0.2180,-0.0818,1.00,-1.0818,1.0000,1.0000,6.630000,0.690000,PID
116.6,48.624,2.0500,0.1059,1.00,-0.8941,1.0000,2.0000,6.630000,0.690000,PID
177.0,47.796,4.5900,0.3714,1.00,-0.6286,1.0000,3.0000,6.630000,0.690000,PID
237.2,47.274,6.3300,0.5564,1.00,-0.4436,1.0000,4.0000,6.630000,0.690000,PID
296.5,46.572,8.1700,0.7568,1.00,-0.2432,1.0000,5.0000,6.630000,0.690000,PID
356.8,46.014,10.1300,0.9717,1.00,-0.0283,0.6791,5.6791,6.630000,0.690000,PID
417.5,45.426,10.6100,1.0321,1.00,0.0321,0.0000,5.6791,6.630000,0.690000,PID
476.8,44.768,10.5700,1.0385,1.00,0.0385,0.0000,5.6791,6.630000,0.690000,PID
536.1,44.114,10.5400,1.0460,1.00,0.0460,0.0000,5.6791,6.630000,0.690000,PID
657.1,49.126,10.7300,0.9876,1.00,-0.0124,0.8073,6.4864,6.630000,0.690000,PID
