time_s,T_avg_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
56.3,48.102,0.1880,-0.0004,1.00,-1.0004,1.0000,1.0000,6.630000,0.131150,STR
115.6,48.108,2.0000,0.1689,1.00,-0.8311,1.0000,2.0000,7.225875,0.147466,STR
176.5,47.410,4.3400,0.3440,1.00,-0.6560,1.0000,3.0000,8.451920,0.089765,STR
236.4,47.044,6.8400,0.5146,1.00,-0.4854,1.0000,4.0000,9.208797,0.008401,STR
297.5,46.490,8.9900,0.6727,1.00,-0.3273,1.0000,5.0000,9.375325,-0.019145,STR
356.3,45.778,10.9600,0.8307,1.00,-0.1693,1.0000,6.0000,9.331635,-0.009424,STR
416.2,45.204,12.9400,0.9939,1.00,-0.0061,0.1054,6.1054,9.263175,0.009685,STR
476.9,44.620,13.1000,1.0156,1.00,0.0156,0.0000,6.1054,9.250840,0.013222,STR
536.2,43.888,13.0100,1.0189,1.00,0.0189,0.0000,6.1054,9.256328,0.011648,STR
596.5,43.322,13.0000,1.0248,1.00,0.0248,0.0000,6.1054,9.278938,0.005164,STR
656.8,42.824,13.2000,1.0429,1.00,0.0429,0.0000,6.1054,9.343652,-0.013396,STR
716.2,42.374,13.1100,1.0390,1.00,0.0390,0.0000,6.1054,9.389805,-0.026633,STR
