time_s,T_avg_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
56.3,52.824,6.1100,0.4880,1.00,-0.5120,1.0000,1.0000,6.630000,0.690000,PID
116.2,52.086,8.0600,0.6845,1.00,-0.3155,1.0000,2.0000,6.630000,0.690000,PID
177.0,51.252,9.6800,0.8533,1.00,-0.1467,1.0000,3.0000,6.630000,0.690000,PID
236.9,50.668,12.1900,1.1108,1.00,0.1108,0.0000,3.0000,6.630000,0.690000,PID
296.2,49.624,12.7700,1.1865,1.00,0.1865,0.0000,3.0000,6.630000,0.690000,PID
356.5,49.248,12.6000,1.1757,1.00,0.1757,0.0000,3.0000,6.630000,0.690000,PID
416.8,48.466,12.8700,1.2171,1.00,0.2171,0.0000,3.0000,6.630000,0.690000,PID
476.1,47.366,12.5200,1.2007,1.00,0.2007,0.0000,3.0000,6.630000,0.690000,PID
536.4,46.734,12.4500,1.2048,1.00,0.2048,0.0000,3.0000,6.630000,0.690000,PID
596.7,46.136,12.3200,1.2020,1.00,0.2020,0.0000,3.0000,6.630000,0.690000,PID
657.9,45.412,12.1200,1.1940,1.00,0.1940,0.0000,3.0000,6.630000,0.690000,PID
716.2,44.902,12.3700,1.2305,1.00,0.2305,0.0000,3.0000,6.630000,0.690000,PID
