time_s,T_avg_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
59.7,49.898,7.0700,0.0026,1.00,-0.9974,1.0000,1.0000,6.630000,4.702229,STR
116.6,50.102,9.0700,0.1702,1.00,-0.8298,1.0000,2.0000,7.689216,4.729865,STR
176.5,48.594,11.6600,0.3470,1.00,-0.6530,1.0000,3.0000,9.439304,4.646365,STR
296.6,47.022,14.7000,0.5246,1.00,-0.4754,1.0000,4.0000,10.894720,4.490310,STR
356.5,46.652,17.5100,0.6832,1.00,-0.3168,1.0000,5.0000,11.444213,4.400536,STR
417.2,46.380,20.0100,0.8366,1.00,-0.1634,1.0000,6.0000,11.511688,4.385758,STR
477.0,45.374,21.9000,0.9839,1.00,-0.0161,0.2267,6.2267,11.296701,4.444847,STR
536.3,44.468,22.0000,1.0179,1.00,0.0179,0.0000,6.2267,11.146124,4.488587,STR
656.2,43.442,22.1000,1.0438,1.00,0.0438,0.0000,6.2267,11.176000,4.479908,STR
716.5,42.884,22.3000,1.0624,1.00,0.0624,0.0000,6.2267,11.269222,4.452829,STR
