time_s,T_avg_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
56.3,49.482,0.2200,-0.0819,1.00,-1.0819,1.0000,1.0000,6.630000,0.149260,STR
116.6,49.084,2.4100,0.1399,1.00,-0.8601,1.0000,2.0000,8.291995,0.192641,STR
176.8,48.480,5.1500,0.4216,1.00,-0.5784,1.0000,3.0000,9.765750,0.123283,STR
236.1,47.744,7.2000,0.6383,1.00,-0.3617,1.0000,4.0000,9.618235,0.139098,STR
296.4,47.062,9.4500,0.8794,1.00,-0.1206,1.0000,5.0000,9.581995,0.145066,STR
356.6,46.510,11.3900,1.0904,1.00,0.0904,0.0000,5.0000,9.402385,0.184810,STR
416.9,45.816,11.3800,1.1010,1.00,0.1010,0.0000,5.0000,9.385359,0.188577,STR
476.2,44.916,11.3800,1.1164,1.00,0.1164,0.0000,5.0000,9.419604,0.181000,STR
536.5,44.756,11.3800,1.1192,1.00,0.1192,0.0000,5.0000,9.446402,0.175070,STR
596.8,44.094,11.3800,1.1309,1.00,0.1309,0.0000,5.0000,9.485620,0.166392,STR
656.1,43.692,11.3800,1.1381,1.00,0.1381,0.0000,5.0000,9.525039,0.157669,STR
