step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,5.8,51.650,0.2030,-0.0029,1.00,-1.0029,0.5000,0.5000,8.101300,0.143366,STR
2,14.2,51.550,1.6960,0.1065,1.00,-0.8935,0.5000,1.0000,8.116980,0.237444,STR
3,133.8,49.740,3.2300,0.2172,1.00,-0.7828,0.5000,1.5000,8.174122,0.373634,STR
4,228.3,48.650,4.7100,0.3217,1.00,-0.6783,0.5000,2.0000,8.283429,0.515328,STR
5,279.5,49.230,5.9400,0.4001,1.00,-0.5999,0.5000,2.5000,8.408568,0.615141,STR
6,358.4,52.190,7.2000,0.4661,1.00,-0.5339,0.5000,3.0000,8.515635,0.670459,STR
7,432.5,52.500,8.3700,0.5418,1.00,-0.4582,0.5000,3.5000,8.615604,0.704090,STR
8,471.5,51.750,9.1800,0.6039,1.00,-0.3961,0.5000,4.0000,8.667651,0.714996,STR
9,558.8,49.940,10.1900,0.6917,1.00,-0.3083,0.5000,4.5000,8.732743,0.722392,STR
10,632.0,49.130,11.1100,0.7668,1.00,-0.2332,0.5000,5.0000,8.776382,0.724009,STR
11,702.9,47.700,12.2300,0.8633,1.00,-0.1367,0.4985,5.4985,8.853277,0.721938,STR
12,805.5,46.640,13.3400,0.9548,1.00,-0.0452,0.1784,5.6768,8.948840,0.714092,STR
13,833.2,46.400,13.6500,0.9761,1.00,-0.0239,0.0000,5.6768,9.013446,0.707536,STR
14,838.1,46.400,13.6500,0.9717,1.00,-0.0283,0.0071,5.6768,9.059458,0.702866,STR
15,842.6,46.500,13.6400,0.9664,1.00,-0.0336,0.0000,5.6768,9.090889,0.699676,STR
16,846.0,46.570,13.6400,0.9632,1.00,-0.0368,0.0000,5.6768,9.114076,0.697323,STR
17,854.5,46.880,13.8200,0.9697,1.00,-0.0303,0.0000,5.6768,9.142582,0.694430,STR
18,860.3,46.950,13.7600,0.9625,1.00,-0.0375,0.0000,5.6768,9.160398,0.692622,STR
19,866.5,47.290,113.7500,4.8947,1.00,3.8947,0.0000,5.6768,15.985264,0.000012,STR
20,871.5,47.320,13.7100,0.6061,1.00,-0.3939,0.5000,6.1768,15.464341,0.052877,STR
21,899.7,48.550,13.7100,0.6145,1.00,-0.3855,0.5000,6.6768,14.760253,0.199389,STR
22,909.5,49.020,13.7100,0.6306,1.00,-0.3694,0.5000,7.1768,13.904963,0.442715,STR
23,923.3,49.200,13.3000,0.6298,1.00,-0.3702,0.5000,7.6768,12.906093,0.785547,STR
24,933.1,49.300,13.6000,0.6666,1.00,-0.3334,0.5000,8.1768,11.870790,1.190174,STR
