step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,47.4,46.950,0.2180,-0.0005,1.00,-1.0005,0.5000,0.5000,8.101300,0.155000,PID
2,106.4,50.660,1.5170,0.1040,1.00,-0.8960,0.5000,1.0000,8.101300,0.155000,PID
3,151.4,51.480,2.9100,0.2145,1.00,-0.7855,0.5000,1.5000,8.101300,0.155000,PID
4,208.0,50.970,4.1700,0.3179,1.00,-0.6821,0.5000,2.0000,8.101300,0.155000,PID
5,255.8,52.060,5.5100,0.4199,1.00,-0.5801,0.5000,2.5000,8.101300,0.155000,PID
6,317.3,51.550,6.6400,0.5134,1.00,-0.4866,0.5000,3.0000,8.101300,0.155000,PID
7,360.3,51.170,7.7300,0.6039,1.00,-0.3961,0.5000,3.5000,8.101300,0.155000,PID
8,441.0,49.540,8.9600,0.7188,1.00,-0.2812,0.5000,4.0000,8.101300,0.155000,PID
9,499.5,49.130,9.9300,0.8032,1.00,-0.1968,0.5000,4.5000,8.101300,0.155000,PID
10,548.9,48.550,10.8400,0.8856,1.00,-0.1144,0.5000,5.0000,8.101300,0.155000,PID
11,600.8,47.900,11.8800,0.9812,1.00,-0.0188,0.1413,5.1413,8.101300,0.155000,PID
12,641.0,47.290,12.4000,1.0337,1.00,0.0337,0.0000,5.1413,8.101300,0.155000,PID
13,679.8,49.260,12.5800,1.0208,1.00,0.0208,0.0000,5.1413,8.101300,0.155000,PID
14,715.1,50.080,12.4800,1.0013,1.00,0.0013,0.0748,5.2161,8.101300,0.155000,PID
15,749.7,50.320,12.5600,1.0046,1.00,0.0046,0.0441,5.2602,8.101300,0.155000,PID
16,763.5,50.180,12.5600,1.0065,1.00,0.0065,0.0091,5.2602,8.101300,0.155000,PID
17,772.2,50.120,12.5600,1.0073,1.00,0.0073,0.0000,5.2602,8.101300,0.155000,PID
18,778.2,50.010,12.5100,1.0047,1.00,0.0047,0.0000,5.2602,8.101300,0.155000,PID
19,785.8,49.910,12.5400,1.0086,1.00,0.0086,0.0000,5.2602,8.101300,0.155000,PID
20,797.9,49.880,12.7700,1.0278,1.00,0.0278,0.0000,5.2602,8.101300,0.155000,PID
21,806.9,49.770,12.7100,1.0244,1.00,0.0244,0.0000,5.2602,8.101300,0.155000,PID
22,813.3,49.670,12.7200,1.0266,1.00,0.0266,0.0000,5.2602,8.101300,0.155000,PID
23,820.5,49.470,12.6800,1.0261,1.00,0.0261,0.0000,5.2602,8.101300,0.155000,PID
24,826.0,49.370,12.6600,1.0259,1.00,0.0259,0.0000,5.2602,8.101300,0.155000,PID
