step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,35.4,52.810,0.2440,0.0001,1.00,-0.9999,0.5000,0.5000,8.101300,0.155986,STR
2,91.0,52.430,1.0780,0.0664,1.00,-0.9336,0.5000,1.0000,7.338744,0.118739,STR
3,159.4,51.550,2.1400,0.1525,1.00,-0.8475,0.5000,1.5000,7.562171,0.116244,STR
4,216.0,50.900,3.3600,0.2527,1.00,-0.7473,0.5000,2.0000,8.181610,0.087423,STR
5,262.6,50.250,4.3900,0.3390,1.00,-0.6610,0.5000,2.5000,8.374789,0.072573,STR
6,314.1,49.330,5.5000,0.4351,1.00,-0.5649,0.5000,3.0000,8.564758,0.052539,STR
7,368.2,48.790,6.3200,0.5066,1.00,-0.4934,0.5000,3.5000,8.472500,0.064819,STR
8,430.5,47.870,7.4800,0.6109,1.00,-0.3891,0.5000,4.0000,8.564558,0.050066,STR
9,497.8,47.020,8.4300,0.6993,1.00,-0.3007,0.5000,4.5000,8.610128,0.041545,STR
10,539.5,46.570,9.2700,0.7758,1.00,-0.2242,0.5000,5.0000,8.573687,0.049321,STR
11,631.1,49.770,10.5000,0.8430,1.00,-0.1570,0.5000,5.5000,8.458036,0.077027,STR
12,676.9,50.690,11.2100,0.8901,1.00,-0.1099,0.5000,6.0000,8.240562,0.134960,STR
13,758.3,49.570,12.2100,0.9860,1.00,-0.0140,0.1040,6.1040,8.150255,0.161494,STR
14,792.8,49.060,12.3000,1.0004,1.00,0.0004,0.0599,6.1640,8.090482,0.179443,STR
15,826.7,48.920,12.3300,1.0048,1.00,0.0048,0.0252,6.1892,8.040384,0.194713,STR
16,864.9,50.250,12.4800,0.9990,1.00,-0.0010,0.0473,6.2365,7.986593,0.211231,STR
17,924.4,50.180,12.4300,0.9959,1.00,-0.0041,0.0761,6.3126,7.930054,0.228873,STR
18,979.0,49.200,12.4700,1.0125,1.00,0.0125,0.0000,6.3126,7.893349,0.240651,STR
19,1013.7,48.650,12.5200,1.0244,1.00,0.0244,0.0000,6.3126,7.879601,0.245063,STR
20,1067.5,48.000,12.4800,1.0302,1.00,0.0302,0.0000,6.3126,7.875096,0.246508,STR
21,1108.8,47.700,12.6200,1.0464,1.00,0.0464,0.0000,6.3126,7.887171,0.242634,STR
22,1143.7,48.240,12.5800,1.0352,1.00,0.0352,0.0000,6.3126,7.887268,0.242602,STR
23,1179.1,48.340,12.5700,1.0329,1.00,0.0329,0.0000,6.3126,7.885440,0.243189,STR
24,1214.1,49.160,12.6300,1.0263,1.00,0.0263,0.0000,6.3126,7.878558,0.245397,STR
