step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,6.3,50.590,6.1100,0.4771,1.00,-0.5229,0.5000,0.5000,8.101300,2.087633,STR
2,54.6,49.940,7.4300,0.2583,1.00,-0.7417,0.5000,1.0000,8.221203,2.807048,STR
3,118.7,49.300,8.7300,0.3135,1.00,-0.6865,0.5000,1.5000,8.391505,3.212936,STR
4,170.6,48.620,10.0500,0.3837,1.00,-0.6163,0.5000,2.0000,8.603193,3.487346,STR
5,222.2,47.360,11.3800,0.4654,1.00,-0.5346,0.5000,2.5000,8.863940,3.695323,STR
6,284.1,46.740,12.3100,0.5182,1.00,-0.4818,0.5000,3.0000,9.098883,3.816710,STR
7,330.2,46.950,14.2200,0.6258,1.00,-0.3742,0.0000,3.0000,9.427854,3.927383,STR
8,349.4,46.950,14.2500,0.6052,1.00,-0.3948,0.0000,3.0000,9.656483,4.004298,STR
9,383.1,46.370,14.3600,0.6027,1.00,-0.3973,0.0000,3.0000,9.848109,4.068765,STR
10,467.6,45.890,14.3800,0.5961,1.00,-0.4039,0.0454,3.0454,10.005325,4.121655,STR
11,496.0,45.790,14.3300,0.5837,1.00,-0.4163,0.1519,3.1972,10.120238,4.157725,STR
12,533.1,46.330,14.8200,0.6012,1.00,-0.3988,0.1298,3.3270,10.225171,4.183084,STR
13,579.8,48.240,15.3200,0.6025,1.00,-0.3975,0.1470,3.4740,10.298793,4.196821,STR
14,615.3,49.810,15.5900,0.5969,1.00,-0.4031,0.2016,3.6756,10.326483,4.200436,STR
15,659.5,50.350,16.0100,0.6162,1.00,-0.3838,0.1290,3.8046,10.332310,4.200813,STR
16,695.7,49.940,116.3500,3.7047,1.00,2.7047,0.0000,3.8046,19.639614,4.458355,STR
17,714.4,49.430,16.3800,0.3448,1.00,-0.6552,0.5000,4.3046,18.874872,4.437194,STR
18,755.9,48.990,17.3500,0.3991,1.00,-0.6009,0.5000,4.8046,17.879304,4.525056,STR
19,772.4,48.820,18.0600,0.4464,1.00,-0.5536,0.5000,5.3046,16.684539,4.718335,STR
20,779.2,48.720,18.0000,0.4662,1.00,-0.5338,0.5000,5.8046,15.277205,5.019970,STR
21,785.6,48.580,18.8000,0.5282,1.00,-0.4718,0.5000,6.3046,13.875192,5.377797,STR
22,793.0,48.550,18.2700,0.5286,1.00,-0.4714,0.1940,6.4986,12.376982,5.810945,STR
23,798.9,48.410,18.3300,0.5591,1.00,-0.4409,0.0000,6.4986,11.156472,6.178998,STR
24,803.9,48.310,18.4300,0.5902,1.00,-0.4098,0.0000,6.4986,10.249606,6.452469,STR
