step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,53.7,51.620,6.0300,0.4641,1.00,-0.5359,0.5000,0.5000,8.101300,3.898790,STR
2,104.6,51.070,7.2700,0.5676,1.00,-0.4324,0.5000,1.0000,9.072130,3.947681,STR
3,170.0,50.220,8.6000,0.6828,1.00,-0.3172,0.5000,1.5000,10.104258,3.936797,STR
4,236.3,49.230,9.8000,0.7913,1.00,-0.2087,0.5000,2.0000,10.428389,3.921845,STR
5,314.7,48.210,11.1200,0.9132,1.00,-0.0868,0.4895,2.4895,10.770492,3.895706,STR
6,363.8,47.700,12.3500,1.0236,1.00,0.0236,0.1587,2.6482,10.903492,3.881831,STR
7,406.7,47.660,12.8300,1.0647,1.00,0.0647,0.0000,2.6482,11.001344,3.870559,STR
8,423.8,48.450,13.0300,1.0698,1.00,0.0698,0.0000,2.6482,11.081916,3.861277,STR
9,430.2,48.550,12.9400,1.0608,1.00,0.0608,0.0000,2.6482,11.079673,3.861536,STR
10,438.0,49.090,12.9500,1.0538,1.00,0.0538,0.0000,2.6482,11.046958,3.865304,STR
11,446.3,49.540,13.0500,1.0556,1.00,0.0556,0.0000,2.6482,11.030831,3.867162,STR
12,452.9,49.470,13.1300,1.0632,1.00,0.0632,0.0000,2.6482,11.044162,3.865626,STR
13,461.0,49.540,13.1300,1.0622,1.00,0.0622,0.0000,2.6482,11.051420,3.864790,STR
14,469.6,49.400,13.0200,1.0552,1.00,0.0552,0.0000,2.6482,11.038745,3.866250,STR
15,476.7,49.230,12.9800,1.0543,1.00,0.0543,0.0000,2.6482,11.026498,3.867661,STR
16,483.8,49.160,12.9700,1.0545,1.00,0.0545,0.0000,2.6482,11.016770,3.868782,STR
17,499.5,48.890,12.9800,1.0592,1.00,0.0592,0.0000,2.6482,11.017917,3.868650,STR
18,513.7,48.890,12.9600,1.0576,1.00,0.0576,0.0000,2.6482,11.015878,3.868885,STR
19,523.2,48.620,12.6000,1.0315,1.00,0.0315,0.0357,2.6840,10.970270,3.874138,STR
20,557.8,49.200,12.9000,1.0481,1.00,0.0481,0.0000,2.6840,10.941573,3.877962,STR
21,564.6,49.330,12.8800,1.0446,1.00,0.0446,0.0000,2.6840,10.910709,3.882074,STR
22,571.5,49.710,12.8600,1.0376,1.00,0.0376,0.0000,2.6840,10.872438,3.887173,STR
23,580.5,50.390,13.0000,1.0395,1.00,0.0395,0.0000,2.6840,10.840713,3.891400,STR
24,586.7,50.560,13.0100,1.0379,1.00,0.0379,0.0000,2.6840,10.810119,3.895476,STR
