step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,8.9,53.630,5.7400,0.4291,1.00,-0.5709,0.5000,0.5000,8.101300,0.155000,STR
2,70.1,52.640,6.6300,0.5079,1.00,-0.4921,0.5000,1.0000,8.091153,0.138578,STR
3,117.7,51.720,7.6800,0.5983,1.00,-0.4017,0.5000,1.5000,8.091153,0.138578,STR
4,172.4,50.900,8.8400,0.6940,1.00,-0.3060,0.5000,2.0000,8.120508,0.157441,STR
5,227.2,49.840,9.9200,0.7857,1.00,-0.2143,0.5000,2.5000,8.167884,0.174450,STR
6,311.9,48.920,11.0300,0.8784,1.00,-0.1216,0.5000,3.0000,8.236687,0.185109,STR
7,433.6,47.760,12.0000,0.9643,1.00,-0.0357,0.2609,3.2609,8.312784,0.185109,STR
8,500.0,46.950,12.6900,1.0208,1.00,0.0208,0.0047,3.2609,8.410188,0.185109,STR
9,506.6,46.880,12.6900,1.0135,1.00,0.0135,0.0000,3.2609,8.478678,0.185109,STR
10,510.0,46.810,12.6900,1.0084,1.00,0.0084,0.0038,3.2609,8.529858,0.185109,STR
11,515.3,46.710,112.7100,8.2337,1.00,7.2337,0.0000,3.2609,9.529858,-0.314891,STR
12,520.4,46.710,112.7300,7.5006,1.00,6.5006,0.0000,3.2609,10.529858,-0.814891,STR
13,524.0,46.610,12.7300,0.9221,1.00,-0.0779,0.4745,3.7354,10.469046,-0.814891,STR
14,538.3,46.570,12.7300,0.9338,1.00,-0.0662,0.5000,4.2354,10.297421,-0.771790,STR
15,544.2,46.500,12.7300,0.9517,1.00,-0.0483,0.5000,4.7354,9.994326,-0.658733,STR
16,551.2,46.440,12.7300,0.9745,1.00,-0.0255,0.4833,5.2187,9.566836,-0.463171,STR
17,556.9,46.400,12.7300,1.0013,1.00,0.0013,0.4339,5.6526,9.045621,-0.192455,STR
18,562.5,46.370,12.7300,1.0307,1.00,0.0307,0.2463,5.8989,8.481592,0.126327,STR
19,569.3,46.300,12.7300,1.0602,1.00,0.0602,0.0000,5.8989,7.968865,0.428382,STR
20,574.0,46.270,12.7300,1.0852,1.00,0.0852,0.0000,5.8989,7.575251,0.660266,STR
21,578.3,46.270,12.7300,1.1065,1.00,0.1065,0.0000,5.8989,7.263240,0.844076,STR
22,582.7,46.270,12.7300,1.1252,1.00,0.1252,0.0000,5.8989,7.009840,0.993359,STR
23,586.1,46.230,12.7300,1.1425,1.00,0.1425,0.0000,5.8989,6.800470,1.116702,STR
24,589.4,46.200,12.7300,1.1577,1.00,0.1577,0.0000,5.8989,6.624567,1.220329,STR
