step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,12.4,51.000,6.1100,0.4745,1.00,-0.5255,0.5000,0.5000,8.101300,0.155000,PID
2,89.7,51.040,7.0400,0.5493,1.00,-0.4507,0.5000,1.0000,8.101300,0.155000,PID
3,134.4,50.760,8.2000,0.6454,1.00,-0.3546,0.5000,1.5000,8.101300,0.155000,PID
4,223.6,49.770,9.7000,0.7773,1.00,-0.2227,0.5000,2.0000,8.101300,0.155000,PID
5,311.3,48.680,10.8700,0.8865,1.00,-0.1135,0.5000,2.5000,8.101300,0.155000,PID
6,378.3,49.230,12.2300,0.9923,1.00,-0.0077,0.0579,2.5579,8.101300,0.155000,PID
7,430.1,49.710,12.2300,0.9858,1.00,-0.0142,0.1411,2.6990,8.101300,0.155000,PID
8,512.0,48.580,12.3500,1.0112,1.00,0.0112,0.0147,2.7138,8.101300,0.155000,PID
9,520.6,48.450,12.3500,1.0130,1.00,0.0130,0.0000,2.7138,8.101300,0.155000,PID
10,528.4,48.310,12.5200,1.0292,1.00,0.0292,0.0000,2.7138,8.101300,0.155000,PID
11,539.9,48.140,12.5400,1.0333,1.00,0.0333,0.0000,2.7138,8.101300,0.155000,PID
12,545.6,47.970,12.5800,1.0391,1.00,0.0391,0.0000,2.7138,8.101300,0.155000,PID
13,551.9,47.800,12.5800,1.0415,1.00,0.0415,0.0000,2.7138,8.101300,0.155000,PID
14,559.1,47.800,12.5900,1.0424,1.00,0.0424,0.0000,2.7138,8.101300,0.155000,PID
15,565.5,47.970,12.6400,1.0441,1.00,0.0441,0.0000,2.7138,8.101300,0.155000,PID
16,569.7,47.970,12.6400,1.0441,1.00,0.0441,0.0000,2.7138,8.101300,0.155000,PID
17,577.9,48.410,112.7200,9.4063,1.00,8.4063,0.0000,2.7138,8.101300,0.155000,PID
18,587.6,48.650,12.7300,1.0419,1.00,0.0419,0.0000,2.7138,8.101300,0.155000,PID
19,593.4,48.850,12.7400,1.0398,1.00,0.0398,0.0000,2.7138,8.101300,0.155000,PID
20,599.1,49.230,12.7200,1.0328,1.00,0.0328,0.0000,2.7138,8.101300,0.155000,PID
21,604.9,49.300,12.7000,1.0302,1.00,0.0302,0.0000,2.7138,8.101300,0.155000,PID
22,609.5,49.260,12.7400,1.0340,1.00,0.0340,0.0000,2.7138,8.101300,0.155000,PID
23,614.6,49.230,12.7400,1.0345,1.00,0.0345,0.0000,2.7138,8.101300,0.155000,PID
24,620.4,49.020,12.7400,1.0374,1.00,0.0374,0.0000,2.7138,8.101300,0.155000,PID
