step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,12.0,48.450,3.9000,0.3068,1.00,-0.6932,0.5000,0.5000,8.101300,2.629146,STR
2,94.2,48.650,5.2700,0.4201,1.00,-0.5799,0.5000,1.0000,9.419515,2.701327,STR
3,141.0,48.510,6.8100,0.5495,1.00,-0.4505,0.5000,1.5000,10.934357,2.686866,STR
4,188.7,50.050,8.3200,0.6614,1.00,-0.3386,0.5000,2.0000,11.234777,2.672932,STR
5,241.7,50.050,10.0800,0.8054,1.00,-0.1946,0.5000,2.5000,11.830162,2.626208,STR
6,319.9,49.260,11.6000,0.9398,1.00,-0.0602,0.3003,2.8003,12.181563,2.587997,STR
7,400.7,48.410,12.5600,1.0311,1.00,0.0311,0.0244,2.8247,12.462069,2.551957,STR
8,465.5,48.280,12.7700,1.0506,1.00,0.0506,0.0000,2.8247,12.673854,2.524295,STR
9,474.6,49.020,12.8600,1.0474,1.00,0.0474,0.0000,2.8247,12.774424,2.511159,STR
10,482.9,49.330,12.8700,1.0438,1.00,0.0438,0.0000,2.8247,12.821788,2.504973,STR
11,487.4,49.370,12.9100,1.0465,1.00,0.0465,0.0000,2.8247,12.864502,2.499394,STR
12,492.1,49.540,12.8200,1.0367,1.00,0.0367,0.0000,2.8247,12.863546,2.499519,STR
13,497.1,49.570,12.8500,1.0387,1.00,0.0387,0.0000,2.8247,12.868705,2.498845,STR
14,500.0,49.570,12.8100,1.0354,1.00,0.0354,0.0000,2.8247,12.864305,2.499420,STR
15,506.6,49.330,12.8500,1.0421,1.00,0.0421,0.0000,2.8247,12.876187,2.497868,STR
16,513.3,50.150,12.4900,1.0012,1.00,0.0012,0.0772,2.9019,12.798510,2.508013,STR
17,520.9,50.390,12.6400,1.0102,1.00,0.0102,0.0313,2.9332,12.700022,2.523646,STR
18,527.3,50.630,112.7100,9.1303,1.00,8.1303,0.0000,2.9332,30.041710,-0.411935,STR
19,532.2,50.830,12.7700,1.0148,1.00,0.0148,0.0000,2.9332,28.592580,-0.166628,STR
20,540.0,51.170,12.8700,1.0182,1.00,0.0182,0.0000,2.9332,27.350640,0.043606,STR
21,545.9,51.480,12.8700,1.0141,1.00,0.0141,0.0000,2.9332,26.263149,0.227695,STR
22,551.5,51.750,12.7700,1.0024,1.00,0.0024,0.0197,2.9529,25.290516,0.392342,STR
23,559.3,52.300,12.8100,0.9984,1.00,-0.0016,0.0269,2.9797,24.368946,0.556557,STR
24,565.3,52.300,12.8800,1.0039,1.00,0.0039,0.0160,2.9957,23.501383,0.721439,STR
