step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,10.7,45.930,6.1300,0.5113,1.00,-0.4887,0.5000,0.5000,8.101300,4.296930,STR
2,72.4,46.640,7.4100,0.6157,1.00,-0.3843,0.5000,1.0000,8.941979,4.296930,STR
3,165.4,50.420,8.8800,0.7037,1.00,-0.2963,0.5000,1.5000,9.198060,4.296930,STR
4,252.1,49.540,9.9700,0.8020,1.00,-0.1980,0.5000,2.0000,9.327566,4.296930,STR
5,382.2,48.170,10.6700,0.8760,1.00,-0.1240,0.5000,2.5000,9.091655,4.296930,STR
6,446.8,49.640,12.4200,1.0024,1.00,0.0024,0.0000,2.5000,9.294136,4.296930,STR
7,486.0,49.840,12.5000,1.0062,1.00,0.0062,0.0000,2.5000,9.395265,4.296930,STR
8,491.5,49.670,12.5000,1.0085,1.00,0.0085,0.0000,2.5000,9.459492,4.296930,STR
9,496.9,49.430,12.4900,1.0110,1.00,0.0110,0.0000,2.5000,9.508426,4.296930,STR
10,501.5,49.400,12.5000,1.0123,1.00,0.0123,0.0000,2.5000,9.545568,4.296930,STR
11,506.6,49.500,12.4900,1.0101,1.00,0.0101,0.0000,2.5000,9.566578,4.296930,STR
12,511.3,49.230,12.4400,1.0096,1.00,0.0096,0.0000,2.5000,9.581530,4.296930,STR
13,518.1,49.130,12.4900,1.0152,1.00,0.0152,0.0000,2.5000,9.604847,4.296930,STR
14,523.0,48.990,12.4900,1.0171,1.00,0.0171,0.0000,2.5000,9.627308,4.296930,STR
15,527.0,48.990,12.4900,1.0171,1.00,0.0171,0.0000,2.5000,9.645778,4.296930,STR
16,530.8,48.820,12.4900,1.0195,1.00,0.0195,0.0000,2.5000,9.665000,4.296930,STR
17,536.0,48.920,12.4900,1.0181,1.00,0.0181,0.0000,2.5000,9.679272,4.296930,STR
18,540.3,48.960,12.4900,1.0175,1.00,0.0175,0.0000,2.5000,9.690781,4.296930,STR
19,546.4,48.890,12.4400,1.0144,1.00,0.0144,0.0000,2.5000,9.696733,4.296930,STR
20,551.2,48.850,12.4400,1.0149,1.00,0.0149,0.0000,2.5000,9.702619,4.296930,STR
21,555.4,48.820,12.4400,1.0153,1.00,0.0153,0.0000,2.5000,9.708293,4.296930,STR
22,561.0,48.890,12.4300,1.0135,1.00,0.0135,0.0000,2.5000,9.711423,4.296930,STR
23,565.0,48.820,12.4300,1.0145,1.00,0.0145,0.0000,2.5000,9.715211,4.296930,STR
24,572.7,48.890,12.4800,1.0177,1.00,0.0177,0.0000,2.5000,9.721678,4.296930,STR
