step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,17.0,52.230,6.9600,0.5342,1.00,-0.4658,0.5000,0.5000,8.101300,2.318902,STR
2,71.6,51.380,8.4100,0.2833,1.00,-0.7167,0.5000,1.0000,8.238591,3.142647,STR
3,156.7,49.910,9.9930,0.3519,1.00,-0.6481,0.5000,1.5000,8.455167,3.658819,STR
4,213.9,49.260,11.5500,0.4249,1.00,-0.5751,0.5000,2.0000,8.736261,4.023200,STR
5,297.5,48.110,12.9700,0.4994,1.00,-0.5006,0.2991,2.2991,9.072019,4.291008,STR
6,358.7,47.320,13.8200,0.5345,1.00,-0.4655,0.2026,2.5017,9.389653,4.483665,STR
7,410.8,47.800,14.5100,0.5480,1.00,-0.4520,0.1222,2.6239,9.658848,4.617768,STR
8,531.7,46.470,14.8400,0.5652,1.00,-0.4348,0.0000,2.6239,9.905845,4.725658,STR
9,544.3,46.540,14.8700,0.5478,1.00,-0.4522,0.0885,2.7124,10.091614,4.806804,STR
10,606.5,47.930,15.1300,0.5340,1.00,-0.4660,0.1440,2.8564,10.223020,4.857582,STR
11,644.9,48.280,15.2800,0.5317,1.00,-0.4683,0.1850,3.0414,10.313059,4.885529,STR
12,706.2,48.040,15.7300,0.5581,1.00,-0.4419,0.0741,3.1155,10.399538,4.905155,STR
13,722.1,47.970,15.7800,0.5579,1.00,-0.4421,0.0322,3.1477,10.461707,4.917379,STR
14,730.5,47.930,15.7400,0.5529,1.00,-0.4471,0.0219,3.1696,10.503922,4.925112,STR
15,735.2,47.830,15.7400,0.5520,1.00,-0.4480,0.0078,3.1696,10.536832,4.930824,STR
16,740.6,47.730,15.7900,0.5543,1.00,-0.4457,0.0000,3.1696,10.570040,4.936588,STR
17,750.4,47.530,15.8200,0.5568,1.00,-0.4432,0.0000,3.1696,10.603615,4.942416,STR
18,755.8,47.360,15.8200,0.5570,1.00,-0.4430,0.0000,3.1696,10.635095,4.947880,STR
19,761.9,47.150,15.8600,0.5603,1.00,-0.4397,0.0000,3.1696,10.667913,4.953576,STR
20,767.3,47.050,15.8600,0.5596,1.00,-0.4404,0.0000,3.1696,10.698105,4.958816,STR
21,777.4,47.120,15.8600,0.5568,1.00,-0.4432,0.0000,3.1696,10.724064,4.963322,STR
22,783.2,47.320,15.8900,0.5544,1.00,-0.4456,0.0069,3.1696,10.746547,4.967224,STR
23,792.0,47.290,15.8600,0.5516,1.00,-0.4484,0.0178,3.1875,10.765601,4.970532,STR
24,798.1,47.220,15.8200,0.5491,1.00,-0.4509,0.0377,3.2251,10.779801,4.972801,STR
