step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,4.9,46.980,6.6200,0.5454,1.00,-0.4546,0.5000,0.5000,8.101300,0.155000,STR
2,39.9,48.720,7.4400,0.6110,1.00,-0.3890,0.5000,1.0000,8.057168,0.095835,STR
3,80.0,48.650,8.5400,0.7062,1.00,-0.2938,0.5000,1.5000,8.044991,0.084992,STR
4,122.2,48.170,9.6900,0.8049,1.00,-0.1951,0.5000,2.0000,8.063935,0.095222,STR
5,205.6,47.390,10.9300,0.9100,1.00,-0.0900,0.5000,2.5000,8.126473,0.112613,STR
6,249.2,47.050,11.3900,0.9550,1.00,-0.0450,0.3367,2.8367,8.112747,0.112613,STR
7,294.0,46.670,13.0200,1.0829,1.00,0.0829,0.0000,2.8367,8.237057,0.112613,STR
8,303.1,46.470,13.0400,1.0758,1.00,0.0758,0.0000,2.8367,8.327957,0.112613,STR
9,309.1,46.400,13.0400,1.0683,1.00,0.0683,0.0000,2.8367,8.395039,0.112613,STR
10,314.3,46.400,13.0000,1.0590,1.00,0.0590,0.0000,2.8367,8.442492,0.112613,STR
11,319.2,46.370,13.0700,1.0598,1.00,0.0598,0.0000,2.8367,8.485337,0.112613,STR
12,324.0,46.330,13.0800,1.0568,1.00,0.0568,0.0000,2.8367,8.520972,0.112613,STR
13,330.5,46.780,13.1000,1.0486,1.00,0.0486,0.0000,2.8367,8.546425,0.112613,STR
14,335.2,47.080,13.1000,1.0420,1.00,0.0420,0.0000,2.8367,8.564634,0.112613,STR
15,339.8,47.460,13.1000,1.0351,1.00,0.0351,0.0000,2.8367,8.576517,0.112613,STR
16,343.2,47.560,13.1000,1.0336,1.00,0.0336,0.0000,2.8367,8.576517,0.112613,STR
17,347.8,47.590,13.1000,1.0332,1.00,0.0332,0.0000,2.8367,8.576517,0.112613,STR
18,358.0,47.760,13.2000,1.0374,1.00,0.0374,0.0000,2.8367,8.587418,0.112613,STR
19,366.3,47.870,13.1400,1.0311,1.00,0.0311,0.0000,2.8367,8.587418,0.112613,STR
20,371.2,47.700,13.1400,1.0335,1.00,0.0335,0.0000,2.8367,8.587418,0.112613,STR
21,379.4,47.420,13.3800,1.0546,1.00,0.0546,0.0000,2.8367,8.604698,0.112613,STR
22,383.7,47.800,13.3800,1.0474,1.00,0.0474,0.0000,2.8367,8.617890,0.112613,STR
23,388.0,47.970,13.3800,1.0437,1.00,0.0437,0.0000,2.8367,8.628828,0.112613,STR
24,392.9,48.070,13.3800,1.0422,1.00,0.0422,0.0000,2.8367,8.628828,0.112613,STR
