time_s,T_avg_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
56.3,42.338,4.8900,0.4436,1.00,-0.5564,1.0000,1.0000,6.630000,0.690000,PID
117.2,42.138,7.6300,0.7530,1.00,-0.2470,1.0000,2.0000,6.630000,0.690000,PID
177.2,41.652,10.5300,1.0874,1.00,0.0874,0.0000,2.0000,6.630000,0.690000,PID
237.4,41.230,10.8900,1.1360,1.00,0.1360,0.0000,2.0000,6.630000,0.690000,PID
298.5,40.990,11.0100,1.1542,1.00,0.1542,0.0000,2.0000,6.630000,0.690000,PID
356.9,40.784,10.7900,1.1329,1.00,0.1329,0.0000,2.0000,6.630000,0.690000,PID
416.2,40.312,10.8200,1.1453,1.00,0.1453,0.0000,2.0000,6.630000,0.690000,PID
476.5,39.910,10.4000,1.1042,1.00,0.1042,0.0000,2.0000,6.630000,0.690000,PID
536.8,39.562,10.8000,1.1575,1.00,0.1575,0.0000,2.0000,6.630000,0.690000,PID
596.2,39.230,10.8400,1.1687,1.00,0.1687,0.0000,2.0000,6.630000,0.690000,PID
657.0,38.930,10.8000,1.1699,1.00,0.1699,0.0000,2.0000,6.630000,0.690000,PID
716.3,38.604,10.8200,1.1788,1.00,0.1788,0.0000,2.0000,6.630000,0.690000,PID
