step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,5.8,47.290,7.6300,0.6287,1.00,-0.3713,0.5000,0.5000,8.101300,0.155000,PID
2,131.3,46.780,8.8600,0.7385,1.00,-0.2615,0.5000,1.0000,8.101300,0.155000,PID
3,189.4,46.270,10.5900,0.8928,1.00,-0.1072,0.5000,1.5000,8.101300,0.155000,PID
4,321.0,44.940,12.2400,1.0548,1.00,0.0548,0.0000,1.5000,8.101300,0.155000,PID
5,357.5,44.330,12.3100,1.0704,1.00,0.0704,0.0000,1.5000,8.101300,0.155000,PID
6,395.6,45.620,12.4500,1.0628,1.00,0.0628,0.0000,1.5000,8.101300,0.155000,PID
7,453.1,48.070,12.0800,0.9956,1.00,-0.0044,0.0326,1.5326,8.101300,0.155000,PID
8,498.4,48.170,12.3400,1.0161,1.00,0.0161,0.0000,1.5326,8.101300,0.155000,PID
9,504.9,48.070,12.3400,1.0175,1.00,0.0175,0.0000,1.5326,8.101300,0.155000,PID
10,510.7,48.040,12.3700,1.0204,1.00,0.0204,0.0000,1.5326,8.101300,0.155000,PID
11,516.5,47.970,12.3700,1.0214,1.00,0.0214,0.0000,1.5326,8.101300,0.155000,PID
12,522.8,47.870,12.3700,1.0228,1.00,0.0228,0.0000,1.5326,8.101300,0.155000,PID
13,527.1,47.730,12.3700,1.0248,1.00,0.0248,0.0000,1.5326,8.101300,0.155000,PID
14,534.5,47.660,12.3800,1.0267,1.00,0.0267,0.0000,1.5326,8.101300,0.155000,PID
15,540.0,47.560,12.4000,1.0298,1.00,0.0298,0.0000,1.5326,8.101300,0.155000,PID
16,546.0,47.490,12.3600,1.0274,1.00,0.0274,0.0000,1.5326,8.101300,0.155000,PID
17,558.3,47.530,12.3800,1.0285,1.00,0.0285,0.0000,1.5326,8.101300,0.155000,PID
18,567.4,47.490,12.3800,1.0291,1.00,0.0291,0.0000,1.5326,8.101300,0.155000,PID
19,573.9,47.490,12.3800,1.0291,1.00,0.0291,0.0000,1.5326,8.101300,0.155000,PID
20,580.7,47.460,12.3600,1.0279,1.00,0.0279,0.0000,1.5326,8.101300,0.155000,PID
21,587.9,47.390,12.3900,1.0314,1.00,0.0314,0.0000,1.5326,8.101300,0.155000,PID
22,594.0,47.360,12.3900,1.0318,1.00,0.0318,0.0000,1.5326,8.101300,0.155000,PID
23,599.3,47.250,12.3900,1.0334,1.00,0.0334,0.0000,1.5326,8.101300,0.155000,PID
24,603.8,47.250,12.3900,1.0334,1.00,0.0334,0.0000,1.5326,8.101300,0.155000,PID
