step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,5.6,45.890,7.4100,0.6224,1.00,-0.3776,0.5000,0.5000,8.101300,5.172401,STR
2,67.4,46.230,8.8900,0.7469,1.00,-0.2531,0.5000,1.0000,9.886408,5.277258,STR
3,145.3,45.520,10.3700,0.8833,1.00,-0.1167,0.5000,1.5000,11.591316,5.263085,STR
4,234.0,48.000,12.0900,0.9975,1.00,-0.0025,0.0131,1.5131,11.832195,5.252121,STR
5,304.2,50.660,11.9800,0.9530,1.00,-0.0470,0.2659,1.7789,11.095395,5.286691,STR
6,345.9,51.100,12.7400,1.0087,1.00,0.0087,0.1201,1.8990,10.641388,5.323109,STR
7,382.7,50.830,13.1200,1.0431,1.00,0.0431,0.0000,1.8990,10.518026,5.334804,STR
8,390.7,50.520,13.1200,1.0474,1.00,0.0474,0.0000,1.8990,10.492913,5.337184,STR
9,396.6,50.150,13.2000,1.0592,1.00,0.0592,0.0000,1.8990,10.560334,5.330793,STR
10,403.2,50.010,13.2000,1.0612,1.00,0.0612,0.0000,1.8990,10.617623,5.325362,STR
11,408.1,50.150,13.2200,1.0608,1.00,0.0608,0.0000,1.8990,10.657297,5.321601,STR
12,412.4,50.050,13.2200,1.0623,1.00,0.0623,0.0000,1.8990,10.693586,5.318160,STR
13,415.2,50.010,13.2200,1.0628,1.00,0.0628,0.0000,1.8990,10.724244,5.315254,STR
14,420.4,49.880,13.2200,1.0647,1.00,0.0647,0.0000,1.8990,10.755485,5.312292,STR
15,426.4,49.770,13.2100,1.0655,1.00,0.0655,0.0000,1.8990,10.783582,5.309629,STR
16,432.6,49.740,13.1800,1.0634,1.00,0.0634,0.0000,1.8990,10.801050,5.307973,STR
17,442.5,49.770,13.1800,1.0630,1.00,0.0630,0.0000,1.8990,10.814712,5.306677,STR
18,447.3,49.840,13.1800,1.0620,1.00,0.0620,0.0000,1.8990,10.823901,5.305806,STR
19,451.1,49.810,13.2200,1.0657,1.00,0.0657,0.0000,1.8990,10.840766,5.304207,STR
20,453.9,49.710,13.2200,1.0672,1.00,0.0672,0.0000,1.8990,10.858758,5.302502,STR
21,456.6,49.740,13.2200,1.0667,1.00,0.0667,0.0000,1.8990,10.873766,5.301079,STR
22,459.3,49.640,13.2200,1.0682,1.00,0.0682,0.0000,1.8990,10.889983,5.299542,STR
23,471.6,49.470,13.2200,1.0706,1.00,0.0706,0.0000,1.8990,10.909105,5.297729,STR
24,478.2,49.370,1313.2200,108.3799,1.00,107.3799,0.0000,1.8990,202.405622,-12.856422,STR
