time_s,T_avg_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
56.3,52.178,6.5200,0.0022,1.00,-0.9978,1.0000,1.0000,6.630000,4.209525,STR
117.2,51.404,6.9600,0.1388,1.00,-0.8612,1.0000,2.0000,3.111197,4.123040,STR
177.0,51.288,11.2600,0.3806,1.00,-0.6194,1.0000,3.0000,9.329590,3.829522,STR
236.9,50.482,13.9100,0.5212,1.00,-0.4788,1.0000,4.0000,10.590515,3.694060,STR
356.7,48.172,16.6600,0.6898,1.00,-0.3102,1.0000,5.0000,11.324333,3.572938,STR
416.6,47.818,19.2100,0.8409,1.00,-0.1591,1.0000,6.0000,11.477364,3.539192,STR
476.5,47.152,21.3000,0.9878,1.00,-0.0122,0.1711,6.1711,11.313951,3.584235,STR
536.5,46.470,21.8000,1.0303,1.00,0.0303,0.0000,6.1711,11.327562,3.580321,STR
596.8,45.708,21.9000,1.0453,1.00,0.0453,0.0000,6.1711,11.413621,3.555578,STR
656.1,45.022,21.7000,1.0425,1.00,0.0425,0.0000,6.1711,11.467705,3.540028,STR
716.4,44.536,21.8000,1.0531,1.00,0.0531,0.0000,6.1711,11.544695,3.517892,STR
