timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776409104.4578078,0.0645,0.0537,0.0623,0.058,0.0559,0.0537,0.058,0.0602
1776409104.831269,0.0645,0.058,0.0602,0.0559,0.0559,0.0537,0.0645,0.0602
1776409105.2048168,0.0666,0.0537,0.058,0.0602,0.058,0.0516,0.0559,0.0645
1776409105.57812,0.0645,0.0559,0.0559,0.0559,0.0623,0.0537,0.0602,0.0623
1776409105.95168,0.0687,0.058,0.058,0.0623,0.058,0.0537,0.0559,0.0645
1776409106.325186,0.0645,0.0559,0.0537,0.0559,0.0623,0.0537,0.058,0.0602
1776409106.698617,0.0666,0.058,0.0559,0.058,0.0602,0.0537,0.0559,0.0623
1776409107.0720088,0.0666,0.058,0.0559,0.0537,0.0602,0.0537,0.058,0.0623
1776409107.445407,0.0645,0.0559,0.0559,0.0537,0.0602,0.058,0.058,0.0602
1776409107.818975,0.0645,0.0602,0.0623,0.0537,0.0602,0.0537,0.0559,0.058
1776409108.19236,0.0645,0.0559,0.0559,0.0537,0.058,0.058,0.0602,0.058
1776409108.565759,0.0645,0.058,0.058,0.0537,0.0623,0.058,0.0559,0.058
1776409108.939234,0.0645,0.058,0.0559,0.0537,0.0559,0.058,0.0602,0.0602
1776409109.312877,0.0645,0.058,0.0623,0.0537,0.0602,0.0559,0.0559,0.058
1776409109.6862972,0.0645,0.0602,0.0559,0.0559,0.058,0.0559,0.0559,0.0602
1776409110.0596669,0.0645,0.058,0.058,0.0537,0.0602,0.0559,0.0559,0.058
1776409110.433223,0.0666,0.0559,0.058,0.0537,0.0602,0.058,0.058,0.0602
1776409110.8067589,0.0666,0.058,0.0559,0.0537,0.0602,0.0559,0.0559,0.0602
1776409111.180078,0.0645,0.0559,0.058,0.0537,0.0559,0.0559,0.0602,0.0602
1776409111.553591,0.0645,0.058,0.0559,0.0537,0.0602,0.058,0.0559,0.058
1776409111.927058,0.0645,0.0559,0.0559,0.0537,0.0602,0.0559,0.058,0.0602
1776409112.300548,0.0645,0.058,0.0645,0.0559,0.0559,0.0559,0.0559,0.058
1776409112.673913,0.0645,0.0559,0.058,0.0559,0.058,0.0602,0.0645,0.058
1776409113.047423,0.0645,0.058,0.0623,0.0537,0.0559,0.0559,0.0559,0.058
1776409113.420917,0.0645,0.0559,0.058,0.0537,0.0602,0.0602,0.0602,0.058
1776409113.7944121,0.0645,0.0559,0.0602,0.0537,0.0602,0.058,0.0559,0.058
1776409114.167775,0.0645,0.058,0.0559,0.0537,0.058,0.0559,0.0602,0.058
1776409114.541298,0.0645,0.0559,0.0559,0.0559,0.0623,0.0559,0.0559,0.0602
1776409114.91479,0.0666,0.058,0.0559,0.0559,0.0602,0.0537,0.0559,0.0602
1776409115.294592,0.0645,0.058,0.0537,0.058,0.0645,0.0537,0.058,0.0623
1776409115.66163,0.0687,0.058,0.0559,0.0559,0.0645,0.0559,0.058,0.0602
1776409116.035161,0.0687,0.0602,0.0559,0.0537,0.0623,0.0537,0.058,0.0623
1776409116.408629,0.0666,0.0602,0.0537,0.0559,0.058,0.0537,0.0559,0.0623
