timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776751706.771944,0.0623,0.0666,0.0838,0.0859,0.0924,0.0773,0.0602,0.0645
1776751707.145231,0.0623,0.0687,0.0838,0.0859,0.0924,0.0795,0.0645,0.0602
1776751707.518719,0.0623,0.0687,0.0859,0.0859,0.0924,0.0795,0.0623,0.0602
1776751707.892212,0.0645,0.0666,0.0816,0.0838,0.0902,0.0795,0.0645,0.0623
1776751708.2655098,0.0687,0.0666,0.073,0.0709,0.0816,0.0795,0.073,0.073
1776751708.638936,0.0709,0.0666,0.0709,0.0645,0.073,0.0773,0.0709,0.0752
1776751709.012154,0.0709,0.0645,0.0687,0.0666,0.073,0.0816,0.0752,0.0752
1776751709.389846,0.0773,0.073,0.0752,0.0687,0.0709,0.073,0.0687,0.073
1776751709.758495,0.073,0.0687,0.0709,0.0666,0.0709,0.0752,0.073,0.0752
1776751710.131849,0.073,0.0709,0.0752,0.0687,0.0709,0.0752,0.0687,0.073
1776751710.505036,0.0709,0.0687,0.0752,0.0709,0.073,0.0795,0.073,0.0709
1776751710.878171,0.0773,0.073,0.0752,0.0666,0.0687,0.0709,0.0709,0.0752
1776751711.25144,0.0773,0.0709,0.073,0.0666,0.0687,0.073,0.0709,0.0752
1776751711.624722,0.0752,0.073,0.0752,0.0666,0.0666,0.0709,0.0687,0.0752
1776751711.997911,0.0773,0.073,0.0752,0.0687,0.0687,0.0709,0.0709,0.0752
1776751712.371129,0.0752,0.073,0.0752,0.0645,0.0687,0.0709,0.0687,0.0752
1776751712.744433,0.0773,0.0752,0.0752,0.0666,0.0687,0.0709,0.0687,0.073
1776751713.117715,0.073,0.073,0.0752,0.0666,0.0709,0.073,0.0666,0.073
1776751713.490973,0.073,0.0687,0.073,0.0666,0.0752,0.0752,0.0687,0.0752
1776751713.864463,0.0752,0.0709,0.073,0.0687,0.073,0.073,0.0687,0.073
1776751714.2419012,0.0709,0.073,0.0752,0.0709,0.0752,0.0709,0.0666,0.0709
1776751714.610995,0.073,0.0709,0.073,0.0666,0.0709,0.0709,0.0687,0.073
1776751714.984533,0.0752,0.073,0.073,0.0666,0.0687,0.073,0.0687,0.073
1776751715.3579588,0.0773,0.0709,0.073,0.0666,0.0687,0.0709,0.0687,0.0752
1776751715.7312782,0.0752,0.073,0.073,0.0666,0.0709,0.0709,0.0687,0.0752
1776751716.104678,0.0773,0.0709,0.0752,0.0666,0.0709,0.073,0.0687,0.0752
1776751716.478071,0.0773,0.073,0.073,0.0666,0.0709,0.0709,0.0687,0.073
1776751716.851304,0.0752,0.073,0.073,0.0666,0.0687,0.073,0.0687,0.0752
1776751717.2246609,0.0752,0.073,0.0752,0.0666,0.0709,0.0709,0.0666,0.073
1776751717.5980968,0.0752,0.073,0.073,0.0645,0.0709,0.073,0.0666,0.0752
1776751717.971363,0.0752,0.073,0.073,0.0666,0.073,0.0709,0.0687,0.0752
1776751718.344619,0.073,0.073,0.073,0.0666,0.0709,0.0709,0.0687,0.073
1776751718.717984,0.0752,0.073,0.0752,0.0666,0.0709,0.0709,0.0687,0.0752
1776751719.091375,0.0752,0.073,0.073,0.0687,0.0709,0.0709,0.0687,0.073
1776751719.464638,0.0773,0.073,0.0752,0.0687,0.0709,0.073,0.0687,0.073
1776751719.8380601,0.0752,0.0752,0.0752,0.0687,0.0709,0.073,0.0687,0.0752
1776751720.211453,0.0752,0.073,0.073,0.0687,0.0709,0.073,0.0687,0.073
1776751720.584679,0.073,0.073,0.0752,0.0687,0.0709,0.0709,0.0666,0.073
1776751720.958077,0.0752,0.073,0.073,0.0687,0.0709,0.0709,0.0687,0.0752
1776751721.331469,0.073,0.073,0.073,0.0666,0.0709,0.073,0.0666,0.0752
1776751721.704774,0.0752,0.073,0.073,0.0687,0.0709,0.0709,0.0687,0.073
1776751722.078018,0.073,0.073,0.073,0.0687,0.0709,0.0709,0.0687,0.0752
1776751722.45154,0.073,0.073,0.073,0.0666,0.073,0.073,0.0687,0.0752
1776751722.8249311,0.0752,0.073,0.073,0.0666,0.0709,0.0709,0.0687,0.0752
1776751723.198153,0.0752,0.0709,0.0752,0.0666,0.0709,0.0709,0.0687,0.073
1776751723.5715442,0.0752,0.0709,0.0752,0.0666,0.073,0.0709,0.0687,0.073
1776751723.9449012,0.0752,0.073,0.0752,0.0687,0.0709,0.0709,0.0687,0.073
1776751724.318239,0.0773,0.073,0.073,0.0687,0.0709,0.0709,0.0687,0.073
1776751724.691526,0.0752,0.073,0.0752,0.0687,0.073,0.073,0.0687,0.073
1776751725.064964,0.0752,0.073,0.073,0.0666,0.073,0.073,0.0687,0.0752
1776751725.438236,0.0752,0.0709,0.073,0.0666,0.0709,0.0709,0.0687,0.073
1776751725.811533,0.0752,0.073,0.073,0.0666,0.0709,0.0709,0.0666,0.0752
1776751726.18496,0.0752,0.073,0.073,0.0666,0.0709,0.073,0.0666,0.0752
1776751726.558361,0.0752,0.0709,0.0752,0.0666,0.0709,0.073,0.0687,0.0752
1776751726.931594,0.0752,0.073,0.073,0.0666,0.073,0.0709,0.0687,0.0752
1776751727.304985,0.073,0.0709,0.073,0.0666,0.0709,0.073,0.0687,0.0773
1776751727.6783528,0.0752,0.0709,0.073,0.0666,0.0709,0.0709,0.0687,0.0752
1776751728.051722,0.0773,0.0709,0.0752,0.0666,0.0709,0.0709,0.0687,0.0752
1776751728.4249458,0.0752,0.0709,0.0752,0.0687,0.0709,0.0709,0.0687,0.073
1776751728.7983239,0.0752,0.073,0.0752,0.0666,0.0709,0.073,0.0709,0.0752
1776751729.1717918,0.0752,0.0709,0.073,0.0666,0.0709,0.0709,0.0687,0.073
1776751729.5450501,0.0752,0.0709,0.073,0.0666,0.0687,0.0709,0.0709,0.0752
1776751729.9185832,0.0752,0.0709,0.073,0.0666,0.073,0.0709,0.0687,0.073
1776751730.292075,0.0773,0.0709,0.073,0.0666,0.0709,0.073,0.0687,0.073
1776751730.665382,0.0752,0.0709,0.073,0.0687,0.0709,0.0709,0.0709,0.0752
1776751731.0387049,0.0773,0.0709,0.073,0.0687,0.073,0.073,0.0687,0.073
1776751731.41209,0.0752,0.0709,0.073,0.0666,0.0709,0.0752,0.0709,0.0752
1776751731.785387,0.0752,0.0687,0.073,0.0687,0.073,0.0752,0.0687,0.0752
1776751732.1586392,0.073,0.0687,0.073,0.0666,0.073,0.073,0.0687,0.0752
1776751732.532029,0.0709,0.0687,0.0709,0.0687,0.073,0.073,0.0709,0.073
1776751732.905328,0.0752,0.0687,0.073,0.0687,0.0709,0.073,0.0709,0.073
1776751733.278593,0.073,0.0709,0.0752,0.0687,0.073,0.073,0.0687,0.073
1776751733.652033,0.073,0.0687,0.073,0.0687,0.073,0.0752,0.0687,0.073
1776751734.025397,0.0709,0.0709,0.073,0.0687,0.073,0.0752,0.0709,0.073
1776751734.3985689,0.073,0.073,0.073,0.0687,0.0709,0.0709,0.0709,0.073
1776751734.771957,0.0752,0.073,0.073,0.0687,0.073,0.073,0.0709,0.073
1776751735.145347,0.073,0.073,0.073,0.0687,0.073,0.073,0.0687,0.073
1776751735.518713,0.0752,0.073,0.073,0.0687,0.0709,0.073,0.0687,0.073
1776751735.8921149,0.073,0.073,0.073,0.0666,0.073,0.073,0.0687,0.073
1776751736.2655659,0.073,0.0709,0.073,0.0687,0.0709,0.0709,0.0687,0.073
1776751736.639013,0.0752,0.0709,0.073,0.0687,0.073,0.073,0.0709,0.0752
1776751737.012299,0.0773,0.0709,0.0687,0.0623,0.0709,0.0709,0.073,0.0773
1776751737.3858318,0.0795,0.0752,0.0709,0.0645,0.0687,0.0709,0.0709,0.0773
1776751737.7592902,0.0795,0.0773,0.0773,0.0687,0.0687,0.0666,0.0666,0.0752
1776751738.132595,0.0795,0.0752,0.0752,0.0687,0.0687,0.0687,0.0687,0.0752
