timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775715904.418391,0.101,0.1805,0.1053,0.1762
1775715904.778778,0.1053,0.1783,0.1117,0.1697
1775715905.139271,0.0967,0.1998,0.1096,0.1633
1775715905.500714,0.0967,0.1848,0.1031,0.1654
1775715905.8601348,0.1031,0.1719,0.1031,0.1934
1775715906.2205791,0.0924,0.1719,0.1074,0.1719
1775715906.581033,0.1053,0.1568,0.101,0.1654
1775715906.9415731,0.0988,0.1676,0.1053,0.1955
1775715907.301962,0.1074,0.1697,0.1053,0.1654
1775715907.6623769,0.101,0.1719,0.1117,0.1633
1775715908.022944,0.0988,0.1955,0.1096,0.1568
1775715908.383471,0.0988,0.1805,0.1074,0.1611
1775715908.7440372,0.0967,0.1934,0.1074,0.159
1775715909.104616,0.0967,0.1955,0.1117,0.1568
1775715909.465214,0.1096,0.1912,0.1117,0.1568
1775715909.825069,0.3846,0.5307,0.0838,0.5865
1775715910.1850188,0.4941,0.5844,0.0795,0.5307
1775715910.544029,0.4598,0.5307,0.0709,0.5543
1775715910.9036748,0.3824,0.5285,0.0945,0.5865
1775715911.2633312,0.3932,0.5307,0.0838,0.5865
1775715911.622964,0.1848,0.5564,0.0666,0.5693
1775715911.982789,0.232,0.5887,0.0645,0.535
1775715912.3423302,0.2428,0.5865,0.0687,0.5307
1775715912.7020822,0.1225,0.5564,0.0816,0.5285
1775715913.061716,0.0666,0.4684,0.073,0.5371
1775715913.4211252,0.1074,0.4748,0.0623,0.5436
1775715913.780879,0.1375,0.4705,0.0773,0.5736
1775715914.140676,0.1053,0.4705,0.0602,0.5865
1775715914.500451,0.4297,0.3072,0.0881,0.5521
1775715914.8599832,0.492,0.5844,0.0838,0.5307
1775715915.2195919,0.4727,0.5328,0.0838,0.5328
1775715915.579189,0.4641,0.5307,0.0752,0.5521
1775715915.938903,0.3158,0.5307,0.0924,0.5844
1775715916.3010938,0.1869,0.5586,0.0645,0.5844
1775715916.658251,0.2342,0.5887,0.0559,0.5307
1775715917.017917,0.0945,0.5414,0.0709,0.5307
1775715917.3776472,0.0881,0.4855,0.0559,0.5285
1775715917.7374122,0.1117,0.4727,0.0645,0.5607
1775715918.096951,0.1031,0.449,0.0623,0.5887
1775715918.4566169,0.434,0.4232,0.0902,0.5371
1775715918.816385,0.4705,0.5328,0.073,0.535
1775715919.176215,0.3201,0.5307,0.0902,0.5887
1775715919.5358999,0.232,0.5865,0.0494,0.5307
1775715919.89561,0.1117,0.5371,0.0645,0.5521
1775715920.2554271,0.0967,0.4684,0.1375,0.4684
1775715920.615346,0.1139,0.4318,0.159,0.4512
1775715920.975311,0.0988,0.4813,0.1525,0.4254
1775715921.33498,0.1031,0.3395,0.1268,0.3094
1775715921.695339,0.1074,0.2191,0.0709,0.2105
1775715922.055757,0.1074,0.2105,0.0687,0.232
1775715922.416362,0.1053,0.2084,0.0838,0.1955
1775715922.776646,0.0988,0.2256,0.1074,0.1891
1775715923.137184,0.0924,0.2105,0.1074,0.1934
1775715923.497518,0.0967,0.1998,0.1053,0.1955
1775715923.8579588,0.1053,0.2256,0.1096,0.1891
1775715924.2183611,0.1053,0.2105,0.1053,0.1912
1775715924.578721,0.1031,0.1955,0.1139,0.1977
1775715924.939171,0.0967,0.2213,0.1096,0.1848
1775715925.2996259,0.101,0.2105,0.1117,0.1848
1775715925.6638,0.0967,0.1977,0.101,0.1977
1775715926.020417,0.1053,0.2213,0.1053,0.1869
1775715926.380877,0.0988,0.2084,0.1139,0.1805
1775715926.7414348,0.1053,0.1977,0.1074,0.217
1775715927.1019242,0.1074,0.1912,0.1096,0.1998
1775715927.462255,0.0924,0.2191,0.1074,0.1848
1775715927.822634,0.0988,0.2084,0.1096,0.1891
1775715928.18311,0.1031,0.1977,0.1053,0.1912
1775715928.543633,0.1031,0.1912,0.101,0.1955
1775715928.9040651,0.101,0.2234,0.1053,0.1869
1775715929.264462,0.1031,0.2105,0.1053,0.1869
1775715929.624943,0.1053,0.1977,0.1117,0.2191
1775715929.985429,0.1074,0.1912,0.1117,0.1848
