timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775798536.053576,0.1074,0.1869,0.1354,0.1869
1775798536.4138849,0.101,0.1977,0.1311,0.1891
1775798536.773955,0.1053,0.1805,0.1139,0.202
1775798537.134727,0.0967,0.2105,0.1074,0.174
1775798537.49454,0.1031,0.1848,0.1074,0.2041
1775798537.854972,0.0988,0.1977,0.1096,0.174
1775798538.2154791,0.1074,0.1848,0.1074,0.2063
1775798538.575979,0.0988,0.174,0.1074,0.1783
1775798538.936119,0.101,0.1912,0.1074,0.1654
1775798539.2963562,0.0945,0.1719,0.1074,0.1676
1775798539.6568131,0.1074,0.1805,0.1074,0.1998
1775798540.017235,0.1074,0.1697,0.1096,0.1676
1775798540.37746,0.0988,0.1783,0.1031,0.1977
1775798540.737632,0.101,0.2041,0.1074,0.1676
1775798541.098063,0.1074,0.1719,0.1053,0.174
1775798541.4581819,0.0988,0.1826,0.1031,0.1654
1775798541.818497,0.0988,0.1697,0.1096,0.1654
1775798542.178721,0.101,0.3588,0.0902,0.5865
1775798542.538702,0.1031,0.4791,0.0687,0.5629
1775798542.898936,0.1461,0.5307,0.073,0.5328
1775798543.2586071,0.1096,0.5865,0.0602,0.5414
1775798543.6185799,0.1074,0.4834,0.0623,0.5479
1775798543.978515,0.1439,0.5908,0.0795,0.5264
1775798544.338389,0.1439,0.5307,0.0945,0.5887
1775798544.6982841,0.1031,0.4877,0.0537,0.5371
1775798545.0582778,0.1654,0.5908,0.0859,0.5285
1775798545.418135,0.1439,0.5307,0.0967,0.5887
1775798545.778071,0.0945,0.5479,0.0859,0.5307
1775798546.137859,0.1182,0.5092,0.0924,0.5736
1775798546.497866,0.1418,0.5307,0.0859,0.5865
1775798546.857831,0.0988,0.4898,0.0666,0.5307
1775798547.21779,0.1461,0.4576,0.0859,0.5414
1775798547.577627,0.1504,0.5307,0.0924,0.5887
1775798547.937632,0.1031,0.4834,0.0666,0.5521
1775798548.2974951,0.1568,0.5887,0.0816,0.5307
1775798548.657543,0.1439,0.5436,0.0881,0.5865
1775798549.017237,0.1053,0.4813,0.073,0.5715
1775798549.377387,0.1525,0.5328,0.0924,0.5328
1775798549.737231,0.1096,0.5865,0.0602,0.535
1775798550.097392,0.1074,0.4791,0.0859,0.5865
1775798550.457189,0.1461,0.5307,0.0967,0.5564
1775798550.816931,0.1139,0.5887,0.0687,0.5307
1775798551.1770828,0.1096,0.477,0.0773,0.5865
1775798551.536979,0.1461,0.5307,0.0967,0.5521
1775798551.9013429,0.1203,0.5844,0.0602,0.5328
1775798552.25675,0.1998,0.5328,0.2879,0.4383
1775798552.61678,0.1096,0.3695,0.101,0.3867
1775798552.976884,0.0924,0.3717,0.1031,0.391
1775798553.336839,0.1074,0.217,0.1074,0.2191
1775798553.697077,0.0945,0.217,0.101,0.2385
1775798554.057326,0.1096,0.2234,0.1074,0.2105
1775798554.4175968,0.1031,0.2041,0.1139,0.1977
1775798554.777909,0.1031,0.2084,0.1096,0.2342
1775798555.137932,0.101,0.2234,0.1074,0.1955
1775798555.4982321,0.1053,0.2041,0.1074,0.202
1775798555.858573,0.1031,0.3094,0.3932,0.2492
1775798556.218687,0.101,0.3029,0.3738,0.2492
1775798556.5786781,0.1074,0.3094,0.3674,0.2535
1775798556.9389372,0.0988,0.2191,0.101,0.2277
1775798557.299218,0.1096,0.2363,0.1053,0.202
1775798557.659638,0.1031,0.2041,0.1139,0.232
1775798558.0197918,0.0945,0.232,0.1074,0.1977
1775798558.379982,0.0988,0.2063,0.1031,0.2105
1775798558.74041,0.1053,0.2148,0.1053,0.2256
1775798559.100517,0.0988,0.2256,0.1096,0.1912
1775798559.460904,0.0988,0.1998,0.1074,0.2256
1775798559.821142,0.101,0.2277,0.1074,0.1934
1775798560.181634,0.1117,0.1955,0.1117,0.1955
1775798560.541991,0.1031,0.2234,0.1053,0.1869
1775798560.902084,0.1031,0.1934,0.101,0.1998
1775798561.262389,0.1096,0.202,0.1096,0.1826
1775798561.622859,0.0988,0.1805,0.1139,0.1762
1775798561.983253,0.0967,0.1955,0.1096,0.1719
1775798562.343383,0.0988,0.1848,0.1053,0.1912
1775798562.703826,0.101,0.1783,0.1074,0.1805
1775798563.064298,0.101,0.1848,0.1139,0.1848
1775798563.4247339,0.1031,0.2127,0.1096,0.1762
1775798563.784977,0.1053,0.1848,0.1053,0.2063
1775798564.145269,0.101,0.202,0.1053,0.1697
1775798564.505623,0.1096,0.1783,0.1139,0.202
