timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776649853.15154,0.1182,0.1117,0.1117,0.1246,0.1418,0.1117,0.1096,0.101
1776649853.524692,0.1225,0.1117,0.1117,0.1225,0.1439,0.1074,0.1096,0.101
1776649853.897782,0.1182,0.1117,0.1139,0.1246,0.1418,0.1096,0.1096,0.101
1776649854.270783,0.1225,0.1117,0.1117,0.1246,0.1439,0.1074,0.1117,0.101
1776649854.6438668,0.1182,0.1139,0.1139,0.1246,0.1418,0.1096,0.1096,0.101
1776649855.017046,0.1225,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.101
1776649855.389987,0.1182,0.1139,0.1139,0.1246,0.1418,0.1096,0.1096,0.101
1776649855.7630851,0.1225,0.1117,0.1117,0.1246,0.1439,0.1074,0.1117,0.101
1776649856.136152,0.1182,0.1139,0.1139,0.1246,0.1396,0.1096,0.1096,0.101
1776649856.509334,0.1225,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.101
1776649856.882236,0.1182,0.1139,0.1139,0.1246,0.1418,0.1096,0.1096,0.101
1776649857.255338,0.1225,0.1117,0.1117,0.1246,0.1418,0.1074,0.1096,0.101
1776649857.6283891,0.1182,0.1117,0.116,0.1268,0.1396,0.1096,0.1096,0.101
1776649858.0015419,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.1031
1776649858.3744981,0.1182,0.1117,0.116,0.1268,0.1396,0.1096,0.1096,0.101
1776649858.747518,0.1203,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.101
1776649859.120662,0.1182,0.1117,0.116,0.1246,0.1396,0.1096,0.1096,0.101
1776649859.4938,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.1031
1776649859.8666801,0.1182,0.1117,0.1182,0.1268,0.1396,0.1096,0.1117,0.1031
1776649860.239768,0.1182,0.1117,0.1117,0.1246,0.1396,0.1074,0.1117,0.1031
1776649860.612844,0.1182,0.1117,0.116,0.1268,0.1396,0.1074,0.1096,0.1031
1776649860.985924,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.1031
1776649861.358997,0.1182,0.1117,0.116,0.1268,0.1396,0.1074,0.1096,0.1031
1776649861.732075,0.1182,0.1117,0.1117,0.1246,0.1396,0.1074,0.1117,0.1031
1776649862.105154,0.1182,0.1117,0.116,0.1268,0.1396,0.1074,0.1096,0.1031
1776649862.478084,0.1182,0.1117,0.1117,0.1246,0.1396,0.1074,0.1139,0.1031
1776649862.851205,0.1182,0.1117,0.116,0.1268,0.1396,0.1074,0.1096,0.1031
1776649863.22431,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.1031
1776649863.5974069,0.1182,0.1139,0.1182,0.1268,0.1396,0.1096,0.1096,0.1031
1776649863.970337,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.1031
1776649864.343487,0.1182,0.1117,0.116,0.1268,0.1396,0.1096,0.1096,0.1031
1776649864.716619,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1139,0.1031
1776649865.089568,0.1182,0.1117,0.116,0.1268,0.1396,0.1096,0.1096,0.101
1776649865.46266,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.1031
1776649865.835742,0.1182,0.1117,0.116,0.1268,0.1396,0.1096,0.1096,0.101
1776649866.208853,0.1182,0.1117,0.1117,0.1246,0.1418,0.1074,0.1117,0.1031
