timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776757654.550745,0.0451,0.0451,0.0451,0.0451,0.0473,0.0451,0.043,0.0451
1776757654.9248269,0.0451,0.0451,0.0451,0.0473,0.0494,0.0473,0.0451,0.0494
1776757655.299074,0.043,0.043,0.043,0.0473,0.0451,0.0473,0.0451,0.0494
1776757655.6732469,0.0451,0.0451,0.043,0.0451,0.043,0.0473,0.043,0.0516
1776757656.047609,0.0473,0.0451,0.0473,0.0408,0.043,0.0451,0.0451,0.043
1776757656.421642,0.0451,0.043,0.043,0.0494,0.0451,0.0451,0.0451,0.0473
1776757656.7955542,0.0451,0.0408,0.0408,0.0494,0.0451,0.0451,0.0473,0.0494
1776757657.171456,0.043,0.0408,0.0408,0.0408,0.0408,0.0408,0.0451,0.0494
1776757657.5434072,0.0494,0.0408,0.043,0.0451,0.0408,0.0473,0.043,0.043
1776757657.9174242,0.0473,0.0473,0.0451,0.043,0.0451,0.0516,0.0473,0.043
1776757658.291328,0.0494,0.0451,0.0473,0.0494,0.0494,0.0516,0.0516,0.0516
1776757658.665212,0.0451,0.0451,0.0473,0.0451,0.0451,0.0473,0.0451,0.043
1776757659.03918,0.0473,0.0451,0.0473,0.0494,0.0451,0.0451,0.0473,0.0494
1776757659.4132748,0.0473,0.0516,0.0473,0.043,0.0451,0.0473,0.0473,0.0473
1776757659.790752,0.0473,0.0451,0.0451,0.0473,0.0451,0.0473,0.043,0.0451
1776757660.161454,0.0473,0.0473,0.0451,0.0473,0.0451,0.0494,0.0451,0.0451
1776757660.535659,0.0451,0.0451,0.0451,0.0494,0.0451,0.0473,0.0473,0.0451
1776757660.909929,0.0473,0.043,0.0451,0.0451,0.043,0.043,0.0451,0.043
1776757661.284087,0.0473,0.043,0.0451,0.043,0.043,0.0451,0.0473,0.0473
1776757661.658276,0.0473,0.0473,0.043,0.0451,0.0473,0.0451,0.043,0.043
1776757662.032467,0.0451,0.043,0.043,0.043,0.043,0.0451,0.043,0.0451
1776757662.41039,0.043,0.0408,0.0408,0.0451,0.0451,0.0408,0.0451,0.043
1776757662.7804632,0.0516,0.0451,0.0494,0.0473,0.0473,0.0494,0.0494,0.0473
1776757663.15449,0.0516,0.0451,0.0494,0.0473,0.0494,0.0494,0.0516,0.0451
1776757663.5284522,0.0473,0.0451,0.0473,0.0451,0.0494,0.0451,0.0451,0.0494
1776757663.902344,0.0494,0.043,0.0473,0.0473,0.043,0.0451,0.0473,0.0473
1776757664.276293,0.0451,0.0408,0.043,0.0473,0.0451,0.0451,0.0473,0.0451
1776757664.65029,0.0451,0.0408,0.0473,0.0451,0.0408,0.043,0.0408,0.0408
1776757665.024297,0.0451,0.043,0.043,0.043,0.043,0.0473,0.0408,0.0408
1776757665.398253,0.0516,0.0494,0.0451,0.0451,0.0451,0.0473,0.0494,0.0451
1776757665.772445,0.0494,0.0451,0.0473,0.0451,0.043,0.0473,0.043,0.0451
1776757666.1465988,0.0473,0.0451,0.0451,0.0494,0.0494,0.0473,0.0494,0.0537
1776757666.520669,0.0473,0.043,0.0473,0.0473,0.043,0.0451,0.0451,0.0451
1776757666.8948119,0.043,0.0451,0.0451,0.043,0.043,0.043,0.0451,0.0473
1776757667.269081,0.0451,0.0473,0.0451,0.0451,0.0473,0.0494,0.0473,0.043
1776757667.6431959,0.0494,0.0473,0.0408,0.043,0.043,0.043,0.0451,0.0473
1776757668.017361,0.0451,0.043,0.043,0.0473,0.043,0.0451,0.0451,0.0451
1776757668.391534,0.0473,0.0451,0.0473,0.0473,0.0494,0.0473,0.0494,0.0451
1776757668.765436,0.0473,0.0451,0.0473,0.0473,0.0494,0.0473,0.0473,0.0559
1776757669.139288,0.0473,0.043,0.0473,0.0494,0.0451,0.0473,0.0516,0.0451
1776757669.5132952,0.0494,0.0451,0.0473,0.0451,0.0494,0.0516,0.0473,0.0516
1776757669.887263,0.0451,0.0473,0.0473,0.0451,0.0473,0.0494,0.0516,0.0494
1776757670.261157,0.0473,0.043,0.0537,0.0451,0.0473,0.0494,0.0451,0.0451
1776757670.635154,0.0473,0.0451,0.0451,0.0451,0.0451,0.0451,0.0473,0.0537
1776757671.009087,0.0494,0.0451,0.0451,0.0473,0.0473,0.0473,0.0494,0.0473
1776757671.383096,0.0494,0.0451,0.0451,0.0451,0.0516,0.0451,0.043,0.0494
1776757671.757248,0.0451,0.0516,0.0451,0.043,0.0451,0.0451,0.0451,0.0451
1776757672.1312718,0.043,0.0451,0.0473,0.0473,0.0451,0.0451,0.0473,0.0516
1776757672.508807,0.0451,0.043,0.0473,0.043,0.0451,0.0451,0.0494,0.0451
1776757672.879603,0.0451,0.0451,0.0451,0.043,0.0451,0.0473,0.043,0.043
1776757673.253856,0.0451,0.043,0.0473,0.0451,0.043,0.0473,0.0451,0.0473
1776757673.628085,0.0451,0.0451,0.0473,0.0473,0.0473,0.0451,0.0451,0.0451
1776757674.002142,0.0451,0.0451,0.0473,0.0408,0.0494,0.0473,0.043,0.0451
1776757674.3762848,0.043,0.043,0.0494,0.0408,0.0494,0.0451,0.0451,0.0473
1776757674.750271,0.0473,0.0451,0.0473,0.0473,0.0451,0.0516,0.0451,0.0473
1776757675.124081,0.0473,0.0451,0.0473,0.0473,0.0473,0.0473,0.0451,0.0494
1776757675.4980469,0.0494,0.0387,0.0408,0.043,0.043,0.0408,0.0387,0.043
1776757675.872067,0.0516,0.0516,0.0494,0.0451,0.0473,0.0494,0.0451,0.0494
1776757676.24603,0.0451,0.0451,0.0473,0.0473,0.0451,0.0473,0.0451,0.0451
1776757676.619863,0.0494,0.0451,0.0494,0.0451,0.0451,0.0473,0.0494,0.0451
1776757676.9938262,0.0451,0.043,0.0408,0.043,0.0408,0.0473,0.0451,0.0451
1776757677.367883,0.0473,0.0451,0.043,0.0473,0.0494,0.0494,0.0473,0.0473
1776757677.741985,0.0473,0.043,0.0473,0.043,0.0473,0.0451,0.0451,0.043
1776757678.1160052,0.0473,0.0408,0.0451,0.0451,0.0451,0.043,0.0473,0.0451
1776757678.490218,0.0473,0.0451,0.0451,0.043,0.0451,0.0473,0.043,0.0494
1776757678.8644202,0.0451,0.0451,0.0473,0.0451,0.043,0.0494,0.0473,0.0473
1776757679.2385468,0.0451,0.043,0.0451,0.0494,0.0473,0.0451,0.0451,0.0516
1776757679.612685,0.0451,0.043,0.0473,0.0451,0.043,0.0451,0.0451,0.0494
1776757679.986918,0.0451,0.0473,0.0451,0.043,0.043,0.0451,0.043,0.0473
1776757680.3609579,0.0473,0.0451,0.0451,0.0451,0.0451,0.0451,0.0451,0.043
1776757680.734933,0.0494,0.0451,0.0494,0.0451,0.0451,0.0494,0.0451,0.0451
1776757681.1089358,0.0494,0.043,0.0494,0.0494,0.0451,0.0473,0.0451,0.0537
1776757681.4828968,0.0473,0.0516,0.0494,0.0473,0.0473,0.0473,0.0473,0.0473
1776757681.856763,0.0494,0.0494,0.0451,0.0451,0.0473,0.0494,0.0473,0.0451
1776757682.230726,0.0473,0.0451,0.0451,0.0494,0.0451,0.0473,0.0537,0.0451
1776757682.604665,0.0494,0.0451,0.0494,0.0494,0.0473,0.0451,0.0451,0.0451
1776757682.978574,0.0451,0.0494,0.0451,0.0451,0.0473,0.0451,0.0516,0.0473
1776757683.35257,0.0451,0.0451,0.0494,0.0473,0.0473,0.0451,0.0473,0.0451
1776757683.7268312,0.0451,0.0451,0.0451,0.0408,0.0473,0.0473,0.0451,0.0451
1776757684.100866,0.0387,0.043,0.0473,0.0451,0.0494,0.043,0.0451,0.0473
1776757684.474951,0.0451,0.043,0.0451,0.0473,0.0473,0.0451,0.043,0.0494
1776757684.849236,0.0494,0.043,0.0473,0.0473,0.0537,0.0473,0.0451,0.0451
