timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775715499.326509,0.1031,0.1934,0.101,0.1633
1775715499.6870599,0.1074,0.174,0.1053,0.1633
1775715500.047343,0.1031,0.1654,0.1074,0.1912
1775715500.4079518,0.1053,0.1633,0.1053,0.1697
1775715500.768404,0.1117,0.159,0.1096,0.159
1775715501.129055,0.1031,0.1891,0.1096,0.1568
1775715501.489407,0.101,0.174,0.1074,0.1633
1775715501.849887,0.1053,0.1762,0.1031,0.1891
1775715502.210281,0.101,0.1697,0.1074,0.1676
1775715502.570902,0.0988,0.1654,0.1053,0.1697
1775715502.931318,0.1031,0.1934,0.1031,0.1654
1775715503.291782,0.1074,0.1676,0.1031,0.1676
1775715503.652297,0.0988,0.174,0.101,0.1891
1775715504.012862,0.1096,0.1654,0.1053,0.1869
1775715504.373375,0.1031,0.1654,0.1053,0.1697
1775715504.7338061,0.1053,0.1633,0.1053,0.1719
1775715505.094409,0.1117,0.1826,0.477,0.6016
1775715505.454561,0.0773,0.4533,0.0602,0.5285
1775715505.814461,0.1568,0.5865,0.0838,0.5307
1775715506.174315,0.1396,0.5543,0.0559,0.5801
1775715506.534302,0.0945,0.4361,0.0623,0.5672
1775715506.895954,0.174,0.5801,0.0838,0.5307
1775715507.254153,0.1418,0.5479,0.0881,0.5844
1775715507.614055,0.0945,0.434,0.0666,0.5736
1775715507.9740732,0.1934,0.5328,0.0687,0.535
1775715508.333996,0.1354,0.5887,0.0559,0.5307
1775715508.693891,0.1096,0.4598,0.0451,0.5887
1775715509.053791,0.1934,0.5307,0.0795,0.5371
1775715509.413982,0.0924,0.4469,0.0752,0.5564
1775715509.7739189,0.2277,0.535,0.0816,0.5328
1775715510.1337988,0.1268,0.5758,0.0559,0.5543
1775715510.493723,0.0945,0.4512,0.0687,0.5607
1775715510.8536599,0.2256,0.5908,0.0795,0.5307
1775715511.213488,0.1525,0.5307,0.0902,0.5887
1775715511.5733602,0.0924,0.4705,0.0602,0.5285
1775715511.933221,0.1031,0.4877,0.0859,0.5715
1775715512.2931972,0.1848,0.5307,0.0795,0.5736
1775715512.653007,0.1396,0.5865,0.0902,0.5307
1775715513.012896,0.0988,0.4469,0.073,0.5887
1775715513.372745,0.2428,0.5328,0.0859,0.535
1775715513.732723,0.1246,0.5758,0.0559,0.5543
1775715514.092576,0.0967,0.4361,0.073,0.5801
1775715514.452685,0.0924,0.2148,0.623,0.4984
1775715514.8131552,0.1031,0.202,0.116,0.2148
1775715515.1735418,0.1053,0.391,0.1418,0.3566
1775715515.533652,0.101,0.3889,0.1418,0.3566
1775715515.893776,0.101,0.4018,0.1461,0.1805
1775715516.2543519,0.1031,0.1934,0.0988,0.1633
1775715516.615017,0.1031,0.1955,0.101,0.1633
1775715516.975418,0.1031,0.1719,0.1031,0.1568
1775715517.3358452,0.1031,0.1762,0.101,0.1848
1775715517.6964722,0.0988,0.174,0.1074,0.1934
1775715518.057018,0.1074,0.1719,0.1053,0.1676
1775715518.417424,0.1074,0.174,0.1074,0.1633
1775715518.777802,0.1031,0.1955,0.1053,0.1676
1775715519.138273,0.1074,0.1719,0.1031,0.1955
1775715519.498823,0.0945,0.1697,0.1074,0.1697
1775715519.859179,0.1031,0.1955,0.1031,0.1654
1775715520.2196522,0.0988,0.1805,0.1053,0.1848
1775715520.580127,0.0988,0.174,0.1053,0.1762
1775715520.940589,0.0988,0.1848,0.1074,0.1654
1775715521.300917,0.1053,0.174,0.1031,0.1676
1775715521.661317,0.1096,0.1676,0.1031,0.1977
1775715522.0217888,0.0967,0.1676,0.1031,0.1762
1775715522.382237,0.0945,0.1934,0.1031,0.1654
1775715522.7426019,0.0988,0.1805,0.1053,0.1934
1775715523.102991,0.0988,0.1719,0.1074,0.1762
1775715523.46349,0.101,0.1955,0.1053,0.1697
1775715523.824159,0.1031,0.174,0.1031,0.1654
1775715524.1844249,0.1053,0.1676,0.1053,0.1955
1775715524.544925,0.101,0.1676,0.1031,0.174
1775715524.905347,0.0967,0.1912,0.1074,0.1654
1775715525.265847,0.1053,0.174,0.1031,0.1654
1775715525.6262798,0.101,0.174,0.1096,0.1934
