timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775798497.1556349,0.0967,0.1998,0.1031,0.1676
1775798497.5160818,0.0988,0.1826,0.1074,0.1977
1775798497.876549,0.1053,0.1719,0.1096,0.1719
1775798498.236904,0.1074,0.1977,0.1031,0.1676
1775798498.597461,0.0967,0.1783,0.1074,0.159
1775798498.957684,0.101,0.1676,0.1074,0.1697
1775798499.318301,0.0988,0.1955,0.1074,0.1633
1775798499.678614,0.0988,0.1697,0.1117,0.1869
1775798500.03889,0.101,0.1611,0.1053,0.1611
1775798500.399313,0.0967,0.1719,0.1074,0.1633
1775798500.759634,0.101,0.1955,0.1074,0.159
1775798501.1202419,0.0945,0.174,0.116,0.1568
1775798501.480643,0.1031,0.1977,0.1053,0.1633
1775798501.8411279,0.0988,0.1676,0.1053,0.1697
1775798502.2014751,0.101,0.3889,0.2148,0.3502
1775798502.561378,0.1461,0.5285,0.0838,0.5758
1775798502.921219,0.0945,0.492,0.0666,0.5285
1775798503.281023,0.116,0.4254,0.0945,0.5715
1775798503.640895,0.1504,0.5285,0.0838,0.5801
1775798504.001088,0.1203,0.5887,0.073,0.5285
1775798504.360815,0.1182,0.5027,0.0666,0.5865
1775798504.7207959,0.1611,0.5307,0.0773,0.5693
1775798505.080679,0.1053,0.4963,0.0623,0.5285
1775798505.440716,0.1074,0.4555,0.0838,0.5822
1775798505.800417,0.2191,0.5307,0.0902,0.5371
1775798506.160324,0.1289,0.5586,0.0602,0.5801
1775798506.5201159,0.1053,0.4941,0.0687,0.5479
1775798506.8800871,0.1504,0.3953,0.0881,0.5607
1775798507.239669,0.2299,0.5307,0.1074,0.5672
1775798507.599655,0.1225,0.5865,0.0752,0.5328
1775798507.959703,0.116,0.4877,0.0838,0.5865
1775798508.319635,0.217,0.5307,0.1096,0.5328
1775798508.679337,0.1461,0.5521,0.0838,0.5844
1775798509.039166,0.1031,0.4941,0.058,0.55
1775798509.399153,0.159,0.3953,0.0859,0.5543
1775798509.75907,0.1568,0.5307,0.1139,0.5736
1775798510.12398,0.1246,0.5865,0.0773,0.5307
1775798510.4787042,0.1096,0.4834,0.0816,0.5865
1775798510.8385658,0.2449,0.5307,0.1031,0.535
1775798511.1985621,0.1246,0.5629,0.0816,0.5758
1775798511.558418,0.1053,0.492,0.0602,0.5479
1775798511.9181921,0.0236,0.5328,0.0967,0.3803
1775798512.278069,0.1268,0.3846,0.1289,0.4146
1775798512.6376882,0.1182,0.4018,0.1311,0.4404
1775798512.9975529,0.1139,0.4146,0.0795,0.3738
1775798513.357295,0.0838,0.2771,0.0967,0.3094
1775798513.717294,0.1053,0.2707,0.1139,0.2686
1775798514.077184,0.1031,0.3094,0.0988,0.2729
1775798514.437255,0.101,0.2943,0.1074,0.3008
1775798514.7973142,0.1074,0.2965,0.1074,0.2965
1775798515.157492,0.1031,0.2922,0.1031,0.2729
1775798515.517638,0.0967,0.3051,0.1203,0.2643
1775798515.8778188,0.1031,0.3738,0.1461,0.2986
1775798516.237689,0.0945,0.3566,0.1783,0.3395
1775798516.5976582,0.1117,0.4039,0.2213,0.3523
1775798516.957883,0.101,0.29,0.1117,0.2814
1775798517.3181062,0.0945,0.2986,0.1031,0.2621
1775798517.678228,0.1053,0.275,0.116,0.2578
1775798518.038414,0.1074,0.2557,0.1074,0.2686
1775798518.398606,0.1053,0.2535,0.1096,0.2643
1775798518.758809,0.1031,0.275,0.0945,0.2814
1775798519.118834,0.1074,0.2643,0.1053,0.2449
1775798519.479006,0.0902,0.2814,0.1117,0.2428
1775798519.839282,0.0967,0.2471,0.0988,0.2449
1775798520.199497,0.116,0.2428,0.1225,0.2535
1775798520.5596302,0.0967,0.2471,0.1031,0.2707
1775798520.9196448,0.1074,0.2535,0.0902,0.2729
1775798521.280066,0.0988,0.26,0.1139,0.2213
