timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776754775.393266,0.0494,0.0473,0.0494,0.0494,0.0516,0.0516,0.0494,0.0473
1776754775.7669451,0.0537,0.0516,0.0494,0.0494,0.0494,0.0516,0.0494,0.0494
1776754776.140737,0.0494,0.0516,0.0516,0.0473,0.0537,0.0537,0.0473,0.0516
1776754776.514305,0.0494,0.0494,0.0494,0.0473,0.0473,0.0494,0.0473,0.0494
1776754776.88798,0.0494,0.0473,0.0516,0.0494,0.0494,0.0516,0.0473,0.0516
1776754777.2616909,0.0516,0.0494,0.0516,0.0473,0.0494,0.0516,0.0473,0.0537
1776754777.635294,0.0537,0.0473,0.0494,0.0494,0.0494,0.0516,0.0473,0.0494
1776754778.008899,0.0516,0.0494,0.0516,0.0473,0.0494,0.0516,0.0494,0.0494
1776754778.382546,0.0516,0.0473,0.0494,0.0516,0.0494,0.0516,0.0473,0.0516
1776754778.756329,0.0516,0.0494,0.0494,0.0516,0.0473,0.0494,0.0494,0.0494
1776754779.1300638,0.0494,0.0473,0.0516,0.0451,0.0494,0.0494,0.0494,0.0537
1776754779.5035892,0.0494,0.0494,0.0516,0.0494,0.0516,0.0559,0.0516,0.0494
1776754779.877224,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0516,0.0494
1776754780.250962,0.0494,0.0473,0.0516,0.0473,0.0473,0.0516,0.0516,0.0494
1776754780.6245492,0.0494,0.0494,0.0516,0.0473,0.0494,0.0516,0.0473,0.0494
1776754780.9981408,0.0516,0.0473,0.0516,0.0494,0.0473,0.0537,0.0473,0.0494
1776754781.371874,0.0473,0.0473,0.0494,0.0473,0.0494,0.0494,0.0473,0.0494
1776754781.745591,0.0494,0.0473,0.0516,0.0473,0.0494,0.0516,0.0516,0.0516
1776754782.119112,0.0494,0.0494,0.0494,0.0473,0.0516,0.0516,0.0516,0.0494
1776754782.492797,0.0473,0.0473,0.0494,0.0451,0.0494,0.0494,0.0494,0.0516
1776754782.8665118,0.0494,0.0473,0.0516,0.0473,0.0516,0.0516,0.0473,0.0494
1776754783.240101,0.0494,0.0473,0.0494,0.0473,0.0494,0.0516,0.0516,0.0494
1776754783.613685,0.0494,0.0473,0.0494,0.0473,0.0473,0.0516,0.0473,0.0494
1776754783.9873762,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0516,0.0494
1776754784.361105,0.0537,0.0473,0.0516,0.0473,0.0473,0.0516,0.0473,0.0537
1776754784.7346659,0.0516,0.0473,0.0516,0.0473,0.0473,0.0537,0.0494,0.0494
1776754785.108167,0.0516,0.0473,0.0494,0.0494,0.0494,0.0516,0.0494,0.0473
1776754785.481953,0.0494,0.0473,0.0494,0.0473,0.0516,0.0516,0.0494,0.0494
1776754785.855689,0.0516,0.0494,0.0516,0.0516,0.0494,0.0516,0.0494,0.0516
1776754786.2292,0.0494,0.0473,0.0494,0.0516,0.0494,0.0516,0.0473,0.0494
1776754786.6027992,0.0537,0.0473,0.0494,0.0516,0.0473,0.0516,0.0516,0.0494
1776754786.976564,0.0494,0.0473,0.0494,0.0473,0.0494,0.0494,0.0494,0.0494
1776754787.350241,0.0516,0.0473,0.0494,0.0473,0.0494,0.0537,0.0473,0.0494
1776754787.7238069,0.0516,0.0473,0.0516,0.0473,0.0473,0.0516,0.0494,0.0516
1776754788.097453,0.0494,0.0473,0.0516,0.0473,0.0494,0.0516,0.0473,0.0516
1776754788.471124,0.0494,0.0473,0.0494,0.0494,0.0494,0.0516,0.0494,0.0516
1776754788.84478,0.0516,0.0473,0.0494,0.0494,0.0537,0.0537,0.0494,0.0473
1776754789.218297,0.0516,0.0473,0.0516,0.0473,0.0494,0.0494,0.0473,0.0516
1776754789.591944,0.0494,0.0451,0.0494,0.0473,0.0494,0.0494,0.0516,0.0494
1776754789.965648,0.0494,0.0494,0.0516,0.0473,0.0494,0.0516,0.0516,0.0516
