timestamp,tx0_k0,tx0_k1,tx0_k2,tx0_k3,tx0_k4,tx1_k0,tx1_k1,tx1_k2,tx1_k3,tx1_k4,tx2_k0,tx2_k1,tx2_k2,tx2_k3,tx2_k4,tx3_k0,tx3_k1,tx3_k2,tx3_k3,tx3_k4,tx4_k0,tx4_k1,tx4_k2,tx4_k3,tx4_k4,tx5_k0,tx5_k1,tx5_k2,tx5_k3,tx5_k4,tx6_k0,tx6_k1,tx6_k2,tx6_k3,tx6_k4,tx7_k0,tx7_k1,tx7_k2,tx7_k3,tx7_k4
1777273541.924725,0.199800,0.090200,0.064500,0.030100,0.176200,0.595100,0.275000,0.023600,0.049400,0.126800,0.294300,0.045100,0.038700,0.023600,0.066600,0.055900,0.043000,0.036500,0.040800,0.238500,0.096700,0.027900,0.030100,0.255700,0.562900,0.202000,0.032200,0.053700,0.060200,0.260000,0.197700,0.051600,0.073000,0.098800,0.204100,0.221300,0.055900,0.049400,0.094500,0.182600
1777273542.408097,0.197700,0.090200,0.064500,0.030100,0.176200,0.597300,0.275000,0.038700,0.032200,0.124600,0.292200,0.032200,0.030100,0.030100,0.058000,0.060200,0.021500,0.023600,0.034400,0.238500,0.096700,0.045100,0.040800,0.257800,0.565000,0.199800,0.032200,0.058000,0.055900,0.262100,0.197700,0.053700,0.066600,0.098800,0.204100,0.221300,0.053700,0.049400,0.094500,0.182600
1777273542.892185,0.197700,0.090200,0.064500,0.030100,0.176200,0.595100,0.275000,0.040800,0.021500,0.122500,0.290000,0.038700,0.045100,0.023600,0.060200,0.064500,0.021500,0.027900,0.019300,0.236300,0.098800,0.043000,0.040800,0.251400,0.567200,0.199800,0.032200,0.055900,0.060200,0.260000,0.197700,0.053700,0.068700,0.098800,0.204100,0.221300,0.051600,0.051600,0.094500,0.182600
1777273543.376782,0.197700,0.092400,0.066600,0.030100,0.176200,0.595100,0.277100,0.040800,0.023600,0.124600,0.290000,0.036500,0.045100,0.023600,0.058000,0.062300,0.023600,0.017200,0.019300,0.234200,0.096700,0.049400,0.043000,0.255700,0.565000,0.199800,0.030100,0.049400,0.058000,0.260000,0.197700,0.053700,0.068700,0.098800,0.204100,0.221300,0.053700,0.049400,0.096700,0.182600
1777273543.858001,0.197700,0.092400,0.066600,0.030100,0.178300,0.593000,0.272900,0.043000,0.040800,0.113900,0.296500,0.034400,0.034400,0.036500,0.064500,0.058000,0.025800,0.025800,0.021500,0.236300,0.083800,0.034400,0.043000,0.255700,0.560700,0.199800,0.032200,0.060200,0.051600,0.260000,0.197700,0.055900,0.068700,0.096700,0.204100,0.221300,0.055900,0.047300,0.094500,0.182600
1777273544.343095,0.197700,0.092400,0.064500,0.030100,0.178300,0.593000,0.272900,0.034400,0.045100,0.116000,0.292200,0.032200,0.030100,0.032200,0.073000,0.055900,0.027900,0.021500,0.043000,0.238500,0.088100,0.019300,0.030100,0.251400,0.567200,0.199800,0.030100,0.053700,0.058000,0.260000,0.197700,0.053700,0.064500,0.096700,0.204100,0.221300,0.053700,0.049400,0.094500,0.180500
1777273544.827902,0.197700,0.092400,0.062300,0.030100,0.176200,0.595100,0.272900,0.040800,0.019300,0.113900,0.294300,0.032200,0.015000,0.032200,0.075200,0.055900,0.021500,0.019300,0.030100,0.238500,0.088100,0.030100,0.034400,0.251400,0.567200,0.199800,0.032200,0.051600,0.055900,0.260000,0.197700,0.055900,0.066600,0.096700,0.204100,0.223400,0.049400,0.049400,0.094500,0.180500
1777273545.311293,0.197700,0.092400,0.064500,0.027900,0.178300,0.590800,0.272900,0.053700,0.040800,0.113900,0.292200,0.023600,0.047300,0.043000,0.068700,0.058000,0.025800,0.012900,0.025800,0.236300,0.085900,0.027900,0.040800,0.255700,0.565000,0.199800,0.030100,0.049400,0.058000,0.260000,0.197700,0.051600,0.070900,0.096700,0.204100,0.221300,0.053700,0.049400,0.094500,0.180500
1777273545.796856,0.195500,0.092400,0.064500,0.030100,0.176200,0.593000,0.272900,0.047300,0.021500,0.113900,0.294300,0.021500,0.030100,0.030100,0.075200,0.055900,0.019300,0.023600,0.043000,0.236300,0.088100,0.032200,0.038700,0.253500,0.565000,0.199800,0.032200,0.053700,0.058000,0.260000,0.197700,0.051600,0.068700,0.096700,0.204100,0.221300,0.051600,0.051600,0.094500,0.182600
1777273546.280587,0.195500,0.092400,0.064500,0.030100,0.176200,0.593000,0.272900,0.036500,0.019300,0.111700,0.296500,0.040800,0.027900,0.040800,0.073000,0.055900,0.021500,0.032200,0.030100,0.236300,0.088100,0.023600,0.034400,0.253500,0.565000,0.199800,0.032200,0.053700,0.051600,0.260000,0.197700,0.053700,0.066600,0.096700,0.204100,0.221300,0.053700,0.053700,0.094500,0.180500
